dataset,variable,label,type,length
Administration.xpt,parent_entity,Parent Entity Name,String,[1]
Administration.xpt,parent_id,Parent Entity Id,String,[1]
Administration.xpt,parent_rel,Name of Relationship from Parent Entity,String,[1]
Administration.xpt,rel_type,Type of Relationship,String,[1]
Administration.xpt,id,(Administration Id),String,[1]
Administration.xpt,name,Administration Name,String,[1]
Administration.xpt,label,Administration Label,String,[0..1]
Administration.xpt,description,Administration Description,String,[0..1]
Administration.xpt,dose,Administration Dose [Exists],Boolean,Quantity[0..1]
Administration.xpt,dose.id,Administration Dose / (Quantity Id),String,Quantity[0..1]>id[1]
Administration.xpt,dose.value,Administration Dose / Quantity Value,Float,Quantity[0..1]>value[1]
Administration.xpt,dose.unit,Administration Dose / Quantity Unit [Exists],Boolean,AliasCode[0..1]
Administration.xpt,dose.unit.id,Administration Dose / Quantity Unit / (Alias Code Id),String,Quantity[0..1]>AliasCode[0..1]>id[1]
Administration.xpt,dose.unit.standardCode,Administration Dose / Quantity Unit / Standard Code [Exists],Boolean,Code[1]
Administration.xpt,dose.unit.standardCode.id,Administration Dose / Quantity Unit / Standard Code / (Code Id),String,Quantity[0..1]>AliasCode[0..1]>Code[1]>id[1]
Administration.xpt,dose.unit.standardCode.code,Administration Dose / Quantity Unit / Standard Code / Code Value,String,Quantity[0..1]>AliasCode[0..1]>Code[1]>code[1]
Administration.xpt,dose.unit.standardCode.codeSystem,Administration Dose / Quantity Unit / Standard Code / Code System Name,String,Quantity[0..1]>AliasCode[0..1]>Code[1]>codeSystem[1]
Administration.xpt,dose.unit.standardCode.codeSystemVersion,Administration Dose / Quantity Unit / Standard Code / Code System Version,String,Quantity[0..1]>AliasCode[0..1]>Code[1]>codeSystemVersion[1]
Administration.xpt,dose.unit.standardCode.decode,Administration Dose / Quantity Unit / Standard Code / Decode,String,Quantity[0..1]>AliasCode[0..1]>Code[1]>decode[1]
Administration.xpt,dose.unit.standardCode.instanceType,Administration Dose / Quantity Unit / Standard Code / (Code Instance Type),String,Quantity[0..1]>AliasCode[0..1]>Code[1]>instanceType[1]
Administration.xpt,dose.unit.standardCodeAliases,Administration Dose / Quantity Unit / Standard Code Aliases [Any Exist],Boolean,Code[0..*]
Administration.xpt,dose.unit.instanceType,Administration Dose / Quantity Unit / (Alias Code Instance Type),String,Quantity[0..1]>AliasCode[0..1]>instanceType[1]
Administration.xpt,dose.instanceType,Administration Dose / (Quantity Instance Type),String,Quantity[0..1]>instanceType[1]
Administration.xpt,frequency,Dosing Frequency [Exists],Boolean,AliasCode[0..1]
Administration.xpt,frequency.id,Dosing Frequency / (Alias Code Id),String,AliasCode[0..1]>id[1]
Administration.xpt,frequency.standardCode,Dosing Frequency / Standard Code [Exists],Boolean,Code[1]
Administration.xpt,frequency.standardCode.id,Dosing Frequency / Standard Code / (Code Id),String,AliasCode[0..1]>Code[1]>id[1]
Administration.xpt,frequency.standardCode.code,Dosing Frequency / Standard Code / Code Value,String,AliasCode[0..1]>Code[1]>code[1]
Administration.xpt,frequency.standardCode.codeSystem,Dosing Frequency / Standard Code / Code System Name,String,AliasCode[0..1]>Code[1]>codeSystem[1]
Administration.xpt,frequency.standardCode.codeSystemVersion,Dosing Frequency / Standard Code / Code System Version,String,AliasCode[0..1]>Code[1]>codeSystemVersion[1]
Administration.xpt,frequency.standardCode.decode,Dosing Frequency / Standard Code / Decode,String,AliasCode[0..1]>Code[1]>decode[1]
Administration.xpt,frequency.standardCode.instanceType,Dosing Frequency / Standard Code / (Code Instance Type),String,AliasCode[0..1]>Code[1]>instanceType[1]
Administration.xpt,frequency.standardCodeAliases,Dosing Frequency / Standard Code Aliases [Any Exist],Boolean,Code[0..*]
Administration.xpt,frequency.instanceType,Dosing Frequency / (Alias Code Instance Type),String,AliasCode[0..1]>instanceType[1]
Administration.xpt,route,Route of Administration [Exists],Boolean,AliasCode[0..1]
Administration.xpt,route.id,Route of Administration / (Alias Code Id),String,AliasCode[0..1]>id[1]
Administration.xpt,route.standardCode,Route of Administration / Standard Code [Exists],Boolean,Code[1]
Administration.xpt,route.standardCode.id,Route of Administration / Standard Code / (Code Id),String,AliasCode[0..1]>Code[1]>id[1]
Administration.xpt,route.standardCode.code,Route of Administration / Standard Code / Code Value,String,AliasCode[0..1]>Code[1]>code[1]
Administration.xpt,route.standardCode.codeSystem,Route of Administration / Standard Code / Code System Name,String,AliasCode[0..1]>Code[1]>codeSystem[1]
Administration.xpt,route.standardCode.codeSystemVersion,Route of Administration / Standard Code / Code System Version,String,AliasCode[0..1]>Code[1]>codeSystemVersion[1]
Administration.xpt,route.standardCode.decode,Route of Administration / Standard Code / Decode,String,AliasCode[0..1]>Code[1]>decode[1]
Administration.xpt,route.standardCode.instanceType,Route of Administration / Standard Code / (Code Instance Type),String,AliasCode[0..1]>Code[1]>instanceType[1]
Administration.xpt,route.standardCodeAliases,Route of Administration / Standard Code Aliases [Any Exist],Boolean,Code[0..*]
Administration.xpt,route.instanceType,Route of Administration / (Alias Code Instance Type),String,AliasCode[0..1]>instanceType[1]
Administration.xpt,duration,Administration Duration [Exists],Boolean,Duration[1]
Administration.xpt,duration.id,Administration Duration / (Duration Id),String,Duration[1]>id[1]
Administration.xpt,duration.text,Administration Duration / Duration Text,String,Duration[1]>text[0..1]
Administration.xpt,duration.quantity,Administration Duration / Duration Quantity Value [Exists],Boolean,Quantity[0..1] / Range[0..1]
Administration.xpt,duration.quantity.id,Administration Duration / Duration Quantity Value / (Quantity Id),String,Duration[1]>Quantity[0..1]>id[1]
Administration.xpt,duration.quantity.value,Administration Duration / Duration Quantity Value / Quantity Value,Float,Duration[1]>Quantity[0..1]>value[1]
Administration.xpt,duration.quantity.unit,Administration Duration / Duration Quantity Value / Quantity Unit [Exists],Boolean,AliasCode[0..1]
Administration.xpt,duration.quantity.unit.id,Administration Duration / Duration Quantity Value / Quantity Unit / (Alias Code Id),String,Duration[1]>Quantity[0..1]>AliasCode[0..1]>id[1]
Administration.xpt,duration.quantity.unit.standardCode,Administration Duration / Duration Quantity Value / Quantity Unit / Standard Code [Exists],Boolean,Code[1]
Administration.xpt,duration.quantity.unit.standardCode.id,Administration Duration / Duration Quantity Value / Quantity Unit / Standard Code / (Code Id),String,Duration[1]>Quantity[0..1]>AliasCode[0..1]>Code[1]>id[1]
Administration.xpt,duration.quantity.unit.standardCode.code,Administration Duration / Duration Quantity Value / Quantity Unit / Standard Code / Code Value,String,Duration[1]>Quantity[0..1]>AliasCode[0..1]>Code[1]>code[1]
Administration.xpt,duration.quantity.unit.standardCode.codeSystem,Administration Duration / Duration Quantity Value / Quantity Unit / Standard Code / Code System Name,String,Duration[1]>Quantity[0..1]>AliasCode[0..1]>Code[1]>codeSystem[1]
Administration.xpt,duration.quantity.unit.standardCode.codeSystemVersion,Administration Duration / Duration Quantity Value / Quantity Unit / Standard Code / Code System Version,String,Duration[1]>Quantity[0..1]>AliasCode[0..1]>Code[1]>codeSystemVersion[1]
Administration.xpt,duration.quantity.unit.standardCode.decode,Administration Duration / Duration Quantity Value / Quantity Unit / Standard Code / Decode,String,Duration[1]>Quantity[0..1]>AliasCode[0..1]>Code[1]>decode[1]
Administration.xpt,duration.quantity.unit.standardCode.instanceType,Administration Duration / Duration Quantity Value / Quantity Unit / Standard Code / (Code Instance Type),String,Duration[1]>Quantity[0..1]>AliasCode[0..1]>Code[1]>instanceType[1]
Administration.xpt,duration.quantity.unit.standardCodeAliases,Administration Duration / Duration Quantity Value / Quantity Unit / Standard Code Aliases [Any Exist],Boolean,Code[0..*]
