parent_entity,parent_id,parent_rel,rel_type,id,name,label,description,administrableDoseForm,administrableDoseForm.id,administrableDoseForm.standardCode,administrableDoseForm.standardCode.id,administrableDoseForm.standardCode.code,administrableDoseForm.standardCode.codeSystem,administrableDoseForm.standardCode.codeSystemVersion,administrableDoseForm.standardCode.decode,administrableDoseForm.standardCode.instanceType,administrableDoseForm.standardCodeAliases,administrableDoseForm.instanceType,sourcing,productDesignation,productDesignation.id,productDesignation.code,productDesignation.codeSystem,productDesignation.codeSystemVersion,productDesignation.decode,productDesignation.instanceType,pharmacologicClass,notes,identifiers,properties,ingredients,instanceType
StudyVersion,StudyVersion_1,administrableProducts,definition,AdministrableProduct_1,AP_FORME_54,Xanomeline 54mg Formulation E,,True,AliasCode_254,True,Code_679,C158215,http://www.cdisc.org,2023-12-15,"Extended Release Capsule, Softgel Dosage Form",Code,FALSE,AliasCode,FALSE,True,Code_680,C202579,http://www.cdisc.org,2024-09-27,IMP,Code,FALSE,FALSE,FALSE,FALSE,True,AdministrableProduct
StudyVersion,StudyVersion_1,administrableProducts,definition,AdministrableProduct_2,AP_FORME_27,Xanomeline 27mg Formulation E,,True,AliasCode_255,True,Code_685,C48624,http://www.cdisc.org,2024-03-29,Dosage Form Not Applicable,Code,FALSE,AliasCode,FALSE,True,Code_686,C202579,http://www.cdisc.org,2024-09-27,IMP,Code,FALSE,FALSE,FALSE,FALSE,True,AdministrableProduct
StudyVersion,StudyVersion_1,administrableProducts,definition,AdministrableProduct_3,AP_FORME_81,Xanomeline 81mg Formulation E,,True,AliasCode_256,True,Code_691,C42968,http://www.cdisc.org,2024-03-29,Patch Dosage Form,Code,FALSE,AliasCode,FALSE,True,Code_692,C202579,http://www.cdisc.org,2024-09-27,IMP,Code,FALSE,FALSE,FALSE,FALSE,True,AdministrableProduct
StudyVersion,StudyVersion_1,administrableProducts,definition,AdministrableProduct_4,AP_FORME_108,Xanomeline 108mg Formulation E,,True,AliasCode_257,True,Code_697,C42998,http://www.cdisc.org,2024-09-27,Tablet Dosage Form,Code,FALSE,AliasCode,FALSE,True,Code_698,C202579,http://www.cdisc.org,2024-09-27,IMP,Code,FALSE,FALSE,FALSE,FALSE,True,AdministrableProduct
StudyVersion,StudyVersion_1,administrableProducts,definition,AdministrableProduct_5,AP_FORME_135,Xanomeline 135mg Formulation E,,True,AliasCode_258,True,Code_703,C0024X,http://www.cdisc.org,2024-09-27,Extension,Code,FALSE,AliasCode,FALSE,True,Code_704,C202579,http://www.cdisc.org,2024-09-27,IMP,Code,FALSE,FALSE,FALSE,FALSE,True,AdministrableProduct
StudyVersion,StudyVersion_1,administrableProducts,definition,AdministrableProduct_6,AP_FORME_162,Xanomeline 162mg Formulation E,,True,AliasCode_259,True,Code_709,C158215,http://www.cdisc.org,2023-12-15,"CAPSULE, SOFTGEL, EXTENDED RELEASE",Code,FALSE,AliasCode,FALSE,True,Code_710,C202579,http://www.cdisc.org,2024-09-27,IMP,Code,FALSE,FALSE,FALSE,FALSE,True,AdministrableProduct
StudyVersion,StudyVersion_1,administrableProducts,definition,AdministrableProduct_7,AP_FORME_189,Xanomeline 189mg Formulation E,,True,AliasCode_260,True,Code_715,C48624,http://www.cdisc.org,2024-03-29,NOT APPLICABLE,Code,FALSE,AliasCode,FALSE,True,Code_716,C202579,http://www.cdisc.org,2024-09-27,IMP,Code,FALSE,FALSE,FALSE,FALSE,True,AdministrableProduct
StudyVersion,StudyVersion_1,administrableProducts,definition,AdministrableProduct_8,AP_FORME_216,Xanomeline 216mg Formulation E,,True,AliasCode_261,True,Code_721,C42968,http://www.cdisc.org,2024-03-29,PATCH,Code,FALSE,AliasCode,FALSE,True,Code_722,C202579,http://www.cdisc.org,2024-09-27,IMP,Code,FALSE,FALSE,FALSE,FALSE,True,AdministrableProduct
StudyVersion,StudyVersion_1,administrableProducts,definition,AdministrableProduct_9,AP_FORME_243,Xanomeline 243mg Formulation E,,True,AliasCode_262,True,Code_727,C42998,http://www.cdisc.org,2024-09-27,TABLET,Code,FALSE,AliasCode,FALSE,True,Code_728,C202579,http://www.cdisc.org,2024-09-27,IMP,Code,FALSE,FALSE,FALSE,FALSE,True,AdministrableProduct
MedicalDevice,MedicalDevice_3,embeddedProductId,reference,AdministrableProduct_1,AP_FORME_54,Xanomeline 54mg Formulation E,,True,AliasCode_254,True,Code_679,C158215,http://www.cdisc.org,2024-09-27,"Extended Release Capsule, Softgel Dosage Form",Code,FALSE,AliasCode,FALSE,True,Code_680,C202579,http://www.cdisc.org,2024-09-27,IMP,Code,FALSE,FALSE,FALSE,FALSE,True,AdministrableProduct
MedicalDevice,MedicalDevice_4,embeddedProductId,reference,AdministrableProduct_2,AP_FORME_27,Xanomeline 27mg Formulation E,,True,AliasCode_257,True,Code_685,C48624,http://www.cdisc.org,2024-09-27,Dosage Form Not Applicable,Code,FALSE,AliasCode,FALSE,True,Code_686,C202579,http://www.cdisc.org,2024-09-27,IMP,Code,FALSE,FALSE,FALSE,FALSE,True,AdministrableProduct
