parent_entity,parent_id,parent_rel,rel_type,id,value,unit,unit.id,unit.standardCode,unit.standardCode.id,unit.standardCode.code,unit.standardCode.codeSystem,unit.standardCode.codeSystemVersion,unit.standardCode.decode,unit.standardCode.instanceType,unit.standardCodeAliases,unit.instanceType,instanceType
StudyDesignPopulation,StudyDesignPopulation_4,plannedEnrollmentNumber,definition,Quantity_25,300,,,,,,,,,,,,Quantity
StudyDesignPopulation,StudyDesignPopulation_4,plannedCompletionNumber,definition,Quantity_26,300,FALSE,,,,,,,,,,,Quantity
Range,Range_4,minValue,definition,Quantity_27,50,True,AliasCode_275,True,Code_1109,C25613,http://www.cdisc.org,2023-12-15,%,Code,False,AliasCode,Quantity
Range,Range_4,maxValue,definition,Quantity_28,100,True,AliasCode_276,True,Code_1110,C198376,http://www.cdisc.org,2023-12-15,10^4 IU/mL,Code,False,AliasCode,Quantity
StudyIntervention,StudyIntervention_1,minimumResponseDuration,definition,Quantity_4,1,True,AliasCode_246,True,Code_613,C25301,http://www.cdisc.org,2024-03-29,DAYS,Code,False,AliasCode,Quantity
Duration,Duration_1,quantity,definition,Quantity_2,24,True,AliasCode_242,True,Code_606,C44278,http://www.cdisc.org,2024-03-29,U,Code,False,AliasCode,Quantity
Duration,Duration_2,quantity,definition,Quantity_5,24,True,AliasCode_247,True,Code_614,C105499,http://www.cdisc.org,2024-09-27,uV*s,Code,False,AliasCode,Quantity
StudyIntervention,StudyIntervention_2,minimumResponseDuration,definition,Quantity_15,1,True,AliasCode_260,True,Code_848,C0051X,http://www.cdisc.org,2024-09-27,Extension,Code,False,AliasCode,Quantity
Range,Range_5,minValue,definition,Quantity_29,50,True,AliasCode_277,True,Code_1111,C25613,http://www.cdisc.org,2025-09-26,Percentage,Code,False,AliasCode,Quantity
Range,Range_5,maxValue,definition,Quantity_30,100,True,AliasCode_278,True,Code_1112,C198376,http://www.cdisc.org,2025-09-26,Ten Thousand International Units per Milliliter,Code,False,AliasCode,Quantity
StudyIntervention,StudyIntervention_2,minimumResponseDuration,definition,Quantity_31,1,True,AliasCode_279,True,Code_1113,C25301,http://www.cdisc.org,2025-09-26,Day,Code,False,AliasCode,Quantity
Duration,Duration_3,quantity,definition,Quantity_32,24,True,AliasCode_280,True,Code_1114,C44278,http://www.cdisc.org,2025-09-26,Unit,Code,False,AliasCode,Quantity
Duration,Duration_4,quantity,definition,Quantity_33,24,True,AliasCode_281,True,Code_1115,C105499,http://www.cdisc.org,2025-09-26,Microvolt Second,Code,False,AliasCode,Quantity
