parent_entity,parent_id,parent_rel,rel_type,id,name,label,description,text,notes,dictionaryId,level,level.id,level.code,level.codeSystem,level.codeSystemVersion,level.decode,level.instanceType,purpose,instanceType
Objective,Objective_1,endpoints,definition,Endpoint_1,END1,,,"<p>Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Week 24</p>",False,,True,Code_621,C94496,http://www.cdisc.org,2025-09-26,Primary Endpoint,Code,,Endpoint
Objective,Objective_1,endpoints,definition,Endpoint_2,END2,,,<p>Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Week 24</p>,False,,True,Code_623,C94496,http://www.cdisc.org,2025-09-26,Primary Endpoint,Code,,Endpoint
Objective,Objective_2,endpoints,definition,Endpoint_3,END3,,,<p>Adverse events</p>,False,,True,Code_624,C94496,http://www.cdisc.org,2025-09-26,Primary Endpoint,Code,,Endpoint
Objective,Objective_2,endpoints,definition,Endpoint_4,END4,,,"<p>Vital signs (weight, standing and supine blood pressure, heart rate)</p>",False,,True,Code_626,C94496,http://www.cdisc.org,2025-09-26,Primary Endpoint,Code,,Endpoint
Objective,Objective_2,endpoints,definition,Endpoint_5,END5,,"The change from baseline laboratory value will be  calculated as the difference between the baseline lab value and the endpoint value (i.e., the value at the specified visit) or the end of treatment observation",<p>Laboratory evaluations (Change from Baseline)</p>,False,,True,Code_627,C94496,http://www.cdisc.org,2025-09-26,Primary Endpoint,Code,,Endpoint
Objective,Objective_3,endpoints,definition,Endpoint_6,END6,,,"<p>Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Weeks 8 and 16</p>",False,,True,Code_628,C139173,http://www.cdisc.org,2025-09-26,Secondary Endpoint,Code,,Endpoint
Objective,Objective_3,endpoints,definition,Endpoint_7,END7,,,<p>Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Weeks 8 and 16</p>,False,,True,Code_630,C139173,http://www.cdisc.org,2025-09-26,Secondary Endpoint,Code,,Endpoint
Objective,Objective_3,endpoints,definition,Endpoint_8,END8,,,<p>Mean Revised Neuropsychiatric Inventory (NPI-X) from Week 4 to Week 24</p>,False,,True,Code_631,C139173,http://www.cdisc.org,2025-09-26,Secondary Endpoint,Code,,Endpoint
Objective,Objective_4,endpoints,definition,Endpoint_9,END9,,,<p>*** To be determined from protocol ***</p>,False,,True,Code_632,C139173,http://www.cdisc.org,2025-09-26,Secondary Endpoint,Code,,Endpoint
Objective,Objective_5,endpoints,definition,Endpoint_10,END10,,,<p>*** To be determined from protocol ***</p>,False,,True,Code_634,C139173,http://www.cdisc.org,2025-09-26,Secondary Endpoint,Code,,Endpoint
Objective,Objective_6,endpoints,definition,Endpoint_11,END11,,,<p>*** To be determined from protocol ***</p>,False,,True,Code_636,C139173,http://www.cdisc.org,2025-09-26,Secondary Endpoint,Code,,Endpoint
Estimand,Estimand_1,variableOfInterestId,reference,Endpoint_1,END1,,,"<p>Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Week 24</p>",False,,True,Code_621,C94496,http://www.cdisc.org,2025-09-26,Primary Endpoint,Code,,Endpoint
