parent_entity,parent_id,parent_rel,rel_type,id,name,label,description,notes,definedProcedures,biomedicalConceptIds,bcSurrogateIds,bcCategoryIds,childIds,previousId,nextId,timelineId,instanceType
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_1,A1,,,FALSE,True,True,True,True,True,,Activity_2,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_2,A2,,,FALSE,True,True,True,True,False,Activity_1,Activity_3,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_3,A3,,,FALSE,True,True,True,True,,Activity_2,Activity_5,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_5,A5,,,FALSE,True,True,True,False,True,Activity_3,Activity_6,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_6,A6,,,FALSE,True,True,True,False,False,Activity_5,Activity_7,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_7,A7,,,FALSE,True,True,True,False,,Activity_6,Activity_9,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_9,A9,,,FALSE,True,True,True,,True,Activity_7,Activity_10,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_10,A10,,,FALSE,True,True,True,,False,Activity_9,Activity_11,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_11,A11,,,FALSE,True,True,True,,,Activity_10,Activity_17,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_17,A17,,,FALSE,True,True,False,True,True,Activity_11,Activity_18,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_18,A18,,,FALSE,True,True,False,True,False,Activity_17,Activity_19,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_19,A19,,,FALSE,True,True,False,True,,Activity_18,Activity_21,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_21,A21,,,FALSE,True,True,False,False,True,Activity_19,Activity_22,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_22,A22,,,FALSE,True,True,False,False,False,Activity_21,Activity_23,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_23,A23,,,FALSE,True,True,False,False,,Activity_22,Activity_25,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_25,A25,,,FALSE,True,True,False,,True,Activity_23,Activity_26,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_26,A26,,,FALSE,True,True,False,,False,Activity_25,Activity_27,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_27,A27,,,FALSE,True,True,False,,,Activity_26,Activity_33,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_33,A33,,,FALSE,True,True,,True,True,Activity_27,Activity_34,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_34,A34,,,FALSE,True,True,,True,False,Activity_33,Activity_35,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_35,A35,,,FALSE,True,True,,True,,Activity_34,Activity_37,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_37,A37,,,FALSE,True,True,,False,True,Activity_35,Activity_38,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_38,A38,,,FALSE,True,True,,False,False,Activity_37,Activity_39,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_39,A39,,,FALSE,True,True,,False,,Activity_38,Activity_41,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_41,A41,,,FALSE,True,True,,,True,Activity_39,Activity_42,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_42,A42,,,FALSE,True,True,,,False,Activity_41,Activity_43,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_43,A43,,,FALSE,True,True,,,,Activity_42,Activity_65,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_65,A65,,,FALSE,True,False,True,True,True,Activity_43,Activity_66,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_66,A66,,,FALSE,True,False,True,True,False,Activity_65,Activity_67,,Activity
