parent_entity,parent_id,parent_rel,rel_type,id,name,label,description,notes,definedProcedures,biomedicalConceptIds,bcCategoryIds,childIds,previousId,nextId,timelineId,instanceType
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_49,A49,,,FALSE,True,True,True,True,,Activity_50,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_50,A50,,,FALSE,True,True,True,False,Activity_49,Activity_51,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_51,A51,,,FALSE,True,True,True,,Activity_50,Activity_53,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_53,A53,,,FALSE,True,True,False,True,Activity_51,Activity_54,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_54,A54,,,FALSE,True,True,False,False,Activity_53,Activity_55,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_55,A55,,,FALSE,True,True,False,,Activity_54,Activity_57,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_57,A57,,,FALSE,True,True,,True,Activity_55,Activity_58,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_58,A58,,,FALSE,True,True,,False,Activity_57,Activity_59,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_59,A59,,,FALSE,True,True,,,Activity_58,Activity_113,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_113,A113,,,FALSE,True,False,True,True,Activity_59,Activity_114,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_114,A114,,,FALSE,True,False,True,False,Activity_113,Activity_115,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_115,A115,,,FALSE,True,False,True,,Activity_114,Activity_117,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_117,A117,,,FALSE,True,False,False,True,Activity_115,Activity_118,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_118,A118,,,FALSE,True,False,False,False,Activity_117,Activity_119,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_119,A119,,,FALSE,True,False,False,,Activity_118,Activity_121,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_121,A121,,,FALSE,True,False,,True,Activity_119,Activity_122,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_122,A122,,,FALSE,True,False,,False,Activity_121,Activity_123,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_123,A123,,,FALSE,True,False,,,Activity_122,Activity_177,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_177,A177,,,FALSE,True,,True,True,Activity_123,Activity_178,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_178,A178,,,FALSE,True,,True,False,Activity_177,Activity_179,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_179,A179,,,FALSE,True,,True,,Activity_178,Activity_181,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_181,A181,,,FALSE,True,,False,True,Activity_179,Activity_182,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_182,A182,,,FALSE,True,,False,False,Activity_181,Activity_183,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_183,A183,,,FALSE,True,,False,,Activity_182,Activity_185,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_185,A185,,,FALSE,True,,,True,Activity_183,Activity_186,,Activity
