parent_entity,parent_id,parent_rel,rel_type,id,name,label,description,notes,definedProcedures,bcSurrogateIds,bcCategoryIds,childIds,previousId,nextId,timelineId,instanceType
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_193,A193,,,FALSE,True,True,True,True,,Activity_194,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_194,A194,,,FALSE,True,True,True,False,Activity_193,Activity_195,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_195,A195,,,FALSE,True,True,True,,Activity_194,Activity_197,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_197,A197,,,FALSE,True,True,False,True,Activity_195,Activity_198,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_198,A198,,,FALSE,True,True,False,False,Activity_197,Activity_199,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_199,A199,,,FALSE,True,True,False,,Activity_198,Activity_201,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_201,A201,,,FALSE,True,True,,True,Activity_199,Activity_202,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_202,A202,,,FALSE,True,True,,False,Activity_201,Activity_203,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_203,A203,,,FALSE,True,True,,,Activity_202,Activity_209,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_209,A209,,,FALSE,True,False,True,True,Activity_203,Activity_210,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_210,A210,,,FALSE,True,False,True,False,Activity_209,Activity_211,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_211,A211,,,FALSE,True,False,True,,Activity_210,Activity_213,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_213,A213,,,FALSE,True,False,False,True,Activity_211,Activity_214,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_214,A214,,,FALSE,True,False,False,False,Activity_213,Activity_215,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_215,A215,,,FALSE,True,False,False,,Activity_214,Activity_217,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_217,A217,,,FALSE,True,False,,True,Activity_215,Activity_218,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_218,A218,,,FALSE,True,False,,False,Activity_217,Activity_219,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_219,A219,,,FALSE,True,False,,,Activity_218,Activity_225,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_225,A225,,,FALSE,True,,True,True,Activity_219,Activity_226,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_226,A226,,,FALSE,True,,True,False,Activity_225,Activity_227,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_227,A227,,,FALSE,True,,True,,Activity_226,Activity_229,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_229,A229,,,FALSE,True,,False,True,Activity_227,Activity_230,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_230,A230,,,FALSE,True,,False,False,Activity_229,Activity_231,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_231,A231,,,FALSE,True,,False,,Activity_230,Activity_233,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_233,A233,,,FALSE,True,,,True,Activity_231,Activity_234,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_234,A234,,,FALSE,True,,,False,Activity_233,Activity_235,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_235,A235,,,FALSE,True,,,,Activity_234,Activity_449,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_449,A449,,,FALSE,False,True,True,True,Activity_235,Activity_450,,Activity
