parent_entity,parent_id,parent_rel,rel_type,id,name,label,description,notes,definedProcedures,bcCategoryIds,childIds,previousId,nextId,timelineId,instanceType
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_241,A241,,,FALSE,True,True,True,,Activity_242,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_242,A242,,,FALSE,True,True,False,Activity_241,Activity_243,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_243,A243,,,FALSE,True,True,,Activity_242,Activity_245,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_245,A245,,,FALSE,True,False,True,Activity_243,Activity_246,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_246,A246,,,FALSE,True,False,False,Activity_245,Activity_247,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_247,A247,,,FALSE,True,False,,Activity_246,Activity_249,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_249,A249,,,FALSE,True,,True,Activity_247,Activity_250,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_250,A250,,,FALSE,True,,False,Activity_249,Activity_251,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_251,A251,,,FALSE,True,,,Activity_250,Activity_497,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_497,A497,,,FALSE,False,True,True,Activity_251,Activity_498,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_498,A498,,,FALSE,False,True,False,Activity_497,Activity_499,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_499,A499,,,FALSE,False,True,,Activity_498,Activity_501,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_501,A501,,,FALSE,False,False,True,Activity_499,Activity_505,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_505,A505,,,FALSE,False,,True,Activity_501,Activity_753,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_753,A753,,,FALSE,,True,True,Activity_505,Activity_754,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_754,A754,,,FALSE,,True,False,Activity_753,Activity_755,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_755,A755,,,FALSE,,True,,Activity_754,Activity_757,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_757,A757,,,FALSE,,False,True,Activity_755,Activity_761,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_761,A761,,,FALSE,,,True,Activity_757,,,Activity
