dataset,variable,label,type,length
adsl,STUDYID,Study Identifier,Char,50
adsl,USUBJID,Unique Subject Identifier,Char,50
adsl,FASFL,Full Analysis Set Population Flag,Char,50
adsl,SAFFL,Safety Population Flag,Char,50
adsl,ITTFL,Intent-To-Treat Population Flag,Char,50
adsl,PPROTFL,Per-Protocol Population Flag,Char,50
adsl,COMPLFL,Completers Population Flag,Char,50
adsl,RANDFL,Randomized Population Flag,Char,50
adsl,ENRLFL,Enrolled Population Flag,Char,50
adsl,ARM,Description of Planned Arm,Char,50
adsl,ACTARM,Description of Actual Arm,Char,50
adsl,Age,AGE,Num,8
adsl,AGEU,AGE UNIT,Num,8
adsl,TRT01AN,Actual Treatment for Period 01 (N),Num,8
adsl,TRT01A,Actual Treatment for Period 01,Num,8
advs,Subject Identifier for the Study,Char,50,1001
advs,Analysis Visit,Char,50,Baseline
advs,Analysis Relative Day,Num,8,0
advs,Parameter,Char,50,SUPINE SYSBP (mm Hg)
advs,Baseline Value,Num,8,161
advs,Change from Baseline,Num,8,
advs,Analysis Value,Num,8,161
advs,Derivation Type,Char,50,
advs,Analysis Flag zz,Char,50,Y
advs,Analysis Criterion y,Char,50,Systolic Pressure >160 and Change from Baseline in Systolic Pressure>10
advs,Criterion y Evaluation Result Flag,Char,50,Y
advs,Analysis Date,Num,8,38370
