dataset,variable,label,type,length
adsl.xpt,STUDYID,Study Identifier,Char,12
adsl.xpt,USUBJID,Unique Subject Identifier,Char,8
adsl.xpt,SUBJID,Subject Identifier for the Study,Char,50
adsl.xpt,SITEID,Study Site Identifier,Char,50
advs.xpt,STUDYID,Study Identifier,Char,12
advs.xpt,USUBJID,Unique Subject Identifier,Char,8
adae.xpt,STUDYID,Study Identifier,Char,50
adae.xpt,USUBJID,Unique Subject Identifier,Char,50
adae.xpt,SUBJID,Subject Identifier for the Study,Char,50
adae.xpt,SITEID,Study Site Identifier,Char,50
adae.xpt,AESEQ,Sequence Number,Num,8
adae.xpt,AETERM,Reported Term,Char,50
adae.xpt,AEBODSYS,Body System or Organ Class,Char,50
adae.xpt,AEBDSYCD,Body System or Organ Class Code,Num,8
adae.xpt,AELLT,Lowest Level Term,Char,50
adae.xpt,AELLTCD,Lowest Level Term Code,Num,8
adae.xpt,AEPTCD,Preferred Term Code,Num,8
adae.xpt,AEHLT,High Level Term,Char,50
adae.xpt,AEHLTCD,High Level Term Code,Num,8
adae.xpt,AEHLGT,High Level Group Term,Char,50
adae.xpt,AEHLGTCD,High Level Group Term Code,Num,8
adae.xpt,AESOC,Primary System Organ Class,Char,50
adae.xpt,AESOCCD,Primary System Organ Class Code,Num,8
adae.xpt,TRTEMFL,Treatment Emergent Analysis Flag,Char,50
adae.xpt,AESER,Serious Event,Char,50
admh.xpt,STUDYID,Study Identifier,Char,50
admh.xpt,USUBJID,Unique Subject Identifier,Char,50
admh.xpt,SUBJID,Subject Identifier for the Study,Char,50
admh.xpt,SITEID,Study Site Identifier,Char,50
admh.xpt,MHSEQ,Sequence Number,Num,8
admh.xpt,MHTERM,Reported Term,Char,50
admh.xpt,MHDECOD,Dictionary-Derived Term,Char,50
admh.xpt,MHBODSYS,Body System or Organ Class,Char,50
admh.xpt,MHBDSYCD,Body System or Organ Class Code,Num,8
admh.xpt,MHLLT,Lowest Level Term,Char,50
admh.xpt,MHLLTCD,Lowest Level Term Code,Num,8
admh.xpt,MHPTCD,Preferred Term Code,Num,8
admh.xpt,MHHLT,High Level Term,Char,50
admh.xpt,MHHLTCD,High Level Term Code,Num,8
admh.xpt,MHHLGT,High Level Group Term,Char,50
admh.xpt,MHHLGTCD,High Level Group Term Code,Num,8
admh.xpt,MHSOC,Primary System Organ Class,Char,50
admh.xpt,MHSOCCD,Primary System Organ Class Code,Num,8
