dataset,variable,label,type,length
adsl,STUDYID,Study Identifier,Char,50
adsl,USUBJID,Unique Subject Identifier,Char,50
adsl,FASFL,Full Analysis Set Population Flag,Char,50
adsl,SAFFL,Safety Population Flag,Char,50
adsl,ITTFL,Intent-To-Treat Population Flag,Char,50
adsl,PPROTFL,Per-Protocol Population Flag,Char,50
adsl,COMPLFL,Completers Population Flag,Char,50
adsl,RANDFL,Randomized Population Flag,Char,50
adsl,ENRLFL,Enrolled Population Flag,Char,50
adsl,ARM,Description of Planned Arm,Char,50
adsl,ACTARM,Description of Actual Arm,Char,50
adsl,AGE,Num,Num,8
adlb,STUDYID,Study Identifier,Char,50
adlb,USUBJID,Unique Subject Identifier,Char,50
adlb,SUBJID,Subject Identifier for the Study,Char,50
adlb,SITEID,Study Site Identifier,Char,50
adlb,ASEQ,Analysis Sequence Number,Num,8
adlb,TRTP,Planned Treatment,Char,50
adlb,TRTPN,Planned Treatment (N),Num,8
adlb,TRTA,Actual Treatment,Char,50
adlb,TRTAN,Actual Treatment (N),Num,8
adlb,TRTPGy,Planned Pooled Treatment y,Char,50
adlb,TRTPGyN,Planned Pooled Treatment y (N),Num,8
adlb,TRTAGy,Actual Pooled Treatment y,Char,50
adlb,TRTAGyN,Actual Pooled Treatment y (N),Num,8
adlb,DOSEP,Planned Treatment Dose,Num,8
adlb,DOSCUMP,Cumulative Planned Treatment Dose,Num,8
adlb,DOSEA,Actual Treatment Dose,Num,8
adlb,DOSCUMA,Cumulative Actual Treatment Dose,Num,8
adlb,DOSEU,Treatment Dose Units,Char,50
adlb,ADT,Analysis Date,Num,8
adlb,ATM,Analysis Time,Num,8
adlb,ADTM,Analysis Datetime,Num,8
adlb,ADY,Analysis Relative Day,Num,8
adlb,ADTF,Analysis Date Imputation Flag,Char,50
adlb,ATMF,Analysis Time Imputation Flag,Char,50
adlb,ASTDT,Analysis Start Date,Num,8
adlb,ASTTM,Analysis Start Time,Num,8
adlb,ASTDTM,Analysis Start Datetime,Num,8
adlb,ASTDY,Analysis Start Relative Day,Num,8
adlb,ASTDTF,Analysis Start Date Imputation Flag,Char,50
adlb,ASTTMF,Analysis Start Time Imputation Flag,Char,50
adlb,AENDT,Analysis End Date,Num,8
adlb,AENTM,Analysis End Time,Num,8
adlb,AENDTM,Analysis End Datetime,Num,8
adlb,AENDY,Analysis End Relative Day,Num,8
adlb,AENDTF,Analysis End Date Imputation Flag,Char,50
adlb,AENTMF,Analysis End Time Imputation Flag,Char,50
adlb,AVISIT,Analysis Visit,Char,50
adlb,AVISITN,Analysis Visit (N),Num,8
adlb,ATPT,Analysis Timepoint,Char,50
adlb,ATPTN,Analysis Timepoint (N),Num,8
adlb,ATPTREF,Analysis Timepoint Reference,Char,8
adlb,APHASE,Phase,Char,50
adlb,APHASEN,Phase (N),Num,8
adlb,APERIOD,Period,Num,8
adlb,APERIODC,Period (C),Char,50
adlb,ASPER,Subperiod within Period,Num,8
adlb,ASPERC,Subperiod within Period (C),Char,50
adlb,ARELTM,Analysis Relative Time,Num,8
adlb,ARELTMU,Analysis Relative Time Unit,Char,50
adlb,APERSDT,Period Start Date,Num,8
adlb,APERSTM,Period Start Time,Num,8
adlb,APERSDTM,Period Start Datetime,Num,8
adlb,APERSDTF,Period Start Date Imput. Flag,Char,50
adlb,APERSTMF,Period Start Time Imput. Flag,Char,50
adlb,APEREDT,Period End Date,Num,8
adlb,APERETM,Period End Time,Num,8
