dataset,variable,label,type,length
adsl.xpt,STUDYID,Study Identifier,Char,50
adsl.xpt,USUBJID,Unique Subject Identifier,Char,50
adsl.xpt,SUBJID,Subject Identifier,Char,50
adsl.xpt,FASFL,Full Analysis Set Population Flag,Char,50
adsl.xpt,SAFFL,Safety Population Flag,Char,50
adsl.xpt,ITTFL,Intent-To-Treat Population Flag,Char,50
adsl.xpt,PPROTFL,Per-Protocol Population Flag,Char,50
adsl.xpt,COMPLFL,Completers Population Flag,Char,50
adsl.xpt,RANDFL,Randomized Population Flag,Char,50
adsl.xpt,ENRLFL,Enrolled Population Flag,Char,50
adsl.xpt,ENRLFN,Enrolled Population Flag (N),Num,50
adsl.xpt,AGE,Age,Num,8
adsl.xpt,AGEU,Age Units,Char,50
adsl.xpt,SEX,Sex,Char,50
adsl.xpt,TRT02A,Actual Treatment for Period 02,Char,50
adsl.xpt,TRT03A,Actual Treatment for Period 03,Char,50
adsl.xpt,TRT04A,Actual Treatment for Period 04,Char,50
