dataset,variable,label,type,length
tu,STUDYID,Study Identifier,Char,50
tu,DOMAIN,Domain Abbreviation,Char,50
tu,USUBJID,Unique Subject Identifier,Char,50
tu,TUSEQ,Sequence Number,Num,8
tu,TUTESTCD,Assessment Short Name	,Char,50
tu,TUTEST,Assessment Name	,Char,50
tu,TUORRES,Result or Finding in Original Units	,Char,50
tu,TUEVAL,Evaluator,Char,50
tu,TUEVALID,Evaluator Identifier	,Char,50
rs,STUDYID,Study Identifier,Char,50
rs,DOMAIN,Domain Abbreviation,Char,50
rs,USUBJID,Unique Subject Identifier,Char,50
rs,RSSEQ,Sequence Number,Num,8
rs,RSTESTCD,Assessment Short Name	,Char,50
rs,RSTEST,Assessment Name	,Char,50
rs,RSCAT,Category for Assessment	,Char,50
rs,RSORRES,Result or Finding in Original Units	,Char,50
rs,RSEVAL,Evaluator,Char,50
rs,RSEVALID,Evaluator Identifier	,Char,50
mk,STUDYID,Study Identifier,Char,50
mk,DOMAIN,Domain Abbreviation,Char,50
mk,USUBJID,Unique Subject Identifier,Char,50
mk,MKSEQ,Sequence Number,Num,8
mk,MKTESTCD,Short Name of Musculoskeletal Test,Char,50
mk,MKTEST,Name of Musculoskeletal Test,Char,50
mk,MKORRES,Result or Finding in Original Units,Char,50
mk,MKEVAL,Evaluator,Char,50
mk,MKEVALID,Evaluator Identifier	,Char,50
