dataset,variable,label,type,length
dm,STUDYID,Study Identifier,Char,50
dm,DOMAIN,Domain Abbreviation,Char,50
dm,USUBJID,Unique Subject Identifier,Char,50
dm,SUBJID,Subject Identifier for the Study,Char,50
dm,RFSTDTC,Subject Reference Start Date/Time,Char,50
dm,RFENDTC,Subject Reference End Date/Time,Char,50
dm,RFXSTDTC,Date/Time of First Study Treatment,Char,50
dm,RFXENDTC,Date/Time of Last Study Treatment,Char,50
dm,RFICDTC,Date/Time of Informed Consent,Char,50
dm,RFPENDTC,Date/Time of End of Participation,Char,50
dm,DTHDTC,Date/Time of Death,Char,50
dm,DTHFL,Subject Death Flag,Char,50
dm,SITEID,Study Site Identifier,Char,50
dm,BRTHDTC,Date/Time of Birth,Char,50
dm,AGE,Age,Num,8
dm,AGEU,Age Units,Char,50
dm,SEX,Sex,Char,50
dm,RACE,Race,Char,50
dm,ETHNIC,Ethnicity,Char,50
dm,ARMCD,Planned Arm Code,Char,50
dm,ARM,Description of Planned Arm,Char,50
dm,ACTARMCD,Actual Arm Code,Char,50
dm,ACTARM,Description of Actual Arm,Char,50
dm,ARMNRS,Reason Arm and/or Actual Arm is Null,Char,50
dm,ACTARMUD,Description of Unplanned Actual Arm,Char,50
dm,COUNTRY,Country,Char,50
ex,STUDYID,50,Char,Study Identifier
ex,DOMAIN,50,Char,Domain Abbreviation
ex,USUBJID,50,Char,Unique Subject Identifier
ex,SPDEVID,200,Char,Sponsor Device Identifier
ex,EXSEQ,8,Num,Sequence Number
ex,EXTRT,50,Char,Name of Treatment
ex,EXDOSE,8,Num,Dose
ex,EXDOSU,50,Char,Dose Units
ex,EXDOSFRM,50,Char,Dose Form
ex,EXDOSFRQ,50,Char,Dosing Frequency per Interval
ex,EXROUTE,50,Char,Route of Administration
ex,EXLOT,50,Char,Lot Number
ex,EPOCH,50,Char,Epoch
ex,EXSTDTC,50,Char,Start Date/Time of Treatment
ex,EXENDTC,50,Char,End Date/Time of Treatment
ex,EXSTDY,8,Num,Study Day of Start of Treatment
ex,EXENDY,8,Num,Study Day of End of Treatment
