dataset,variable,label,type,length
xf,STUDYID,Study Identifier,Char,50
xf,DOMAIN,Domain Abbreviation,Char,50
xf,USUBJID,Unique Subject Identifier,Char,50
xf,XFSEQ,Sequence Number,Num,8
xf,XFTEST,Name of Test,Char,50
xf,XFORRES,Result or Finding in Original Units,Char,50
xf,XFSTRESC,Result or Finding in Standard Format,Char,50
xf,XFSTRESN,Numeric Result/Finding in Standard Units,Num,8
xf,XFSTAT,"Completion
Status",Char,8
xf,XFREASND,"Reason
Medication
Not Collected",Char,124
xf,XFBLFL,"Baseline
Flag",Char,1
xf,EPOCH,Epoch,Char,50
xf,XFDTC,Date/Time of Test,Char,50
xf,XFDY,Study Day of Test,Num,8
ft,STUDYID,Study Identifier,Char,50
ft,DOMAIN,Domain Abbreviation,Char,50
ft,USUBJID,Unique Subject Identifier,Char,50
ft,FTSEQ,Sequence Number,Num,8
ft,FTTEST,Name of Test,Char,50
ft,FTCAT,Category,Char,50
ft,FTSCAT,Subcategory,Char,50
ft,FTORRES,Result or Finding in Original Units,Char,50
ft,FTSTRESC,Result or Finding in Standard Format,Char,50
ft,FTSTRESN,Numeric Result/Finding in Standard Units,Num,8
ft,FTLOBXFL,Last Observation Before Exposure Flag,Char,50
ft,FTREPNUM,Repetition Number,Num,8
ft,VISITNUM,Visit Number,Num,8
ft,VISIT,Visit Name,Char,50
ft,EPOCH,Epoch,Char,50
ft,FTDTC,Date/Time of Test,Char,50
ft,FTDY,Study Day of Test,Num,8
ft,FTTPT,Planned Time Point Name,Char,50
ft,FTTPTNUM,Planned Time Point Number,Num,8
ft,FTELTM,Planned Elapsed Time from Time Point Ref,Char,50
ft,FTTPTREF,Time Point Reference,Char,50
dm,STUDYID,Study Identifier,Char,50
dm,DOMAIN,Domain Abbreviation,Char,50
dm,USUBJID,Unique Subject Identifier,Char,50
dm,ARMCD,Planned Arm Code,Char,50
dm,ARM,Description of Planned Arm,Char,50
dm,ACTARMCD,Actual Arm Code,Char,50
dm,ACTARM,Description of Actual Arm,Char,50
dm,ARMNRS,Reason Arm and/or Actual Arm is Null,Char,50
dm,ACTARMUD,Description of Unplanned Actual Arm,Char,50
ae,STUDYID,Study Identifier,Char,50
ae,DOMAIN,Domain Abbreviation,Char,50
ae,USUBJID,Unique Subject Identifier,Char,50
ae,AESEQ,Sequence Number,Num,8
ae,AETERM,Reported Term for the Adverse Event,Char,50
ae,AEMODIFY,Modified Reported Term,Char,50
ae,AEDECOD,Dictionary-Derived Term,Char,50
ae,AEBODSYS,Body System or Organ Class,Char,50
ae,AESEV,Severity/Intensity,Char,50
ae,AESER,Serious Event,Char,50
ae,AEACN,Action Taken with Study Treatment,Char,50
ae,AEREL,Causality,Char,50
ae,AEOUT,Outcome of Adverse Event,Char,50
ae,AESCONG,Congenital Anomaly or Birth Defect,Char,50
ae,AESDISAB,Persist or Signif Disability/Incapacity,Char,50
ae,AESDTH,Results in Death,Char,50
ae,AESHOSP,Requires or Prolongs Hospitalization,Char,50
ae,AESLIFE,Is Life Threatening,Char,50
ae,EPOCH,Epoch,Char,50
ae,AESTDTC,Start Date/Time of Adverse Event,Char,50
ae,AEENDTC,End Date/Time of Adverse Event,Char,50
ae,AESTDY,Study Day of Start of Adverse Event,Num,8
ae,AEENDY,Study Day of End of Adverse Event,Num,8
ae,AEENRF,End Relative to Reference Period,Char,50
