dataset,variable,label,type,length
ft,STUDYID,Study Identifier,Char,50
ft,DOMAIN,Domain Abbreviation,Char,50
ft,USUBJID,Unique Subject Identifier,Char,50
ft,FTSEQ,Sequence Number,Num,8
ft,FTTESTCD,Short Name of Test,Char,50
ft,FTTEST,Name of Test,Char,50
ft,FTCAT,Category,Char,50
ft,FTSCAT,Subcategory,Char,50
ft,FTORRES,Result or Finding in Original Units,Char,50
ft,FTSTRESC,Result or Finding in Standard Format,Char,50
ft,FTSTRESN,Numeric Result/Finding in Standard Units,Num,8
ft,FTLOBXFL,Last Observation Before Exposure Flag,Char,50
ft,FTREPNUM,Repetition Number,Num,8
ft,VISITNUM,Visit Number,Num,8
ft,VISIT,Visit Name,Char,50
ft,EPOCH,Epoch,Char,50
ft,FTDTC,Date/Time of Test,Char,50
ft,FTDY,Study Day of Test,Num,8
ft,FTTPT,Planned Time Point Name,Char,50
ft,FTTPTNUM,Planned Time Point Number,Num,8
ft,FTELTM,Planned Elapsed Time from Time Point Ref,Char,50
ft,FTTPTREF,Time Point Reference,Char,50
xf,STUDYID,Study Identifier,Char,50
xf,DOMAIN,Domain Abbreviation,Char,50
xf,USUBJID,Unique Subject Identifier,Char,50
xf,XFSEQ,Sequence Number,Num,8
xf,XFTESTCD,Short Name of Test,Char,50
xf,XFTEST,Name of Test,Char,50
xf,XFORRES,Result or Finding in Original Units,Char,50
xf,XFSTRESC,Result or Finding in Standard Format,Char,50
xf,XFSTRESN,Numeric Result/Finding in Standard Units,Num,8
xf,XFSTAT,"Completion
Status",Char,8
xf,XFREASND,"Reason
Medication
Not Collected",Char,124
xf,XFBLFL,"Baseline
Flag",Char,1
xf,EPOCH,Epoch,Char,50
xf,XFDTC,Date/Time of Test,Char,50
xf,XFDY,Study Day of Test,Num,8
