dataset,variable,label,type,length
dm.xpt,STUDYID,Study Identifier,Char,50
dm.xpt,DOMAIN,Domain Abbreviation,Char,50
dm.xpt,USUBJID,Unique Subject Identifier,Char,50
dm.xpt,ARMCD,Planned Arm Code,Char,50
dm.xpt,ARM,Description of Planned Arm,Char,50
dm.xpt,ACTARMCD,Actual Arm Code,Char,50
dm.xpt,ACTARM,Description of Actual Arm,Char,50
dm.xpt,ARMNRS,Reason Arm and/or Actual Arm is Null,Char,50
dm.xpt,ACTARMUD,Description of Unplanned Actual Arm,Char,50
dm.xpt,RFSTDTC,Subject Reference Start Date/Time,Char,10
dm.xpt,BRTHDTC,Date/Time of Birth,Char,10
