dataset,variable,label,type,length
tf.xpt,STUDYID,Study Identifier,Char,50
tf.xpt,DOMAIN,Domain Abbreviation,Char,50
tf.xpt,USUBJID,Unique Subject Identifier,Char,50
tf.xpt,TFDETECT,Time in Days to Detection of Tumor,Num,8
pm.xpt,STUDYID,Study Identifier,Char,50
pm.xpt,DOMAIN,Domain Abbreviation,Char,50
pm.xpt,USUBJID,Unique Subject Identifier,Char,50
pm.xpt,PMDTC,Date/Time ,Char,20
ex.xpt,STUDYID,Study Identifier,Char,50
ex.xpt,DOMAIN,Domain Abbreviation,Char,50
ex.xpt,USUBJID,Unique Subject Identifier,Char,50
ex.xpt,EXSTDTC,Date/Time ,Char,20
