STUDYID,DOMAIN,USUBJID,FETUSID,ICSEQ,ICTESTCD,ICTEST,ICORRES,ICSTRESC,ICIMPLBL,ICSTRESCAT,ICRESLOC,ICSTAT,ICREASND,ICSPEC
TST01 ,IC ,TST01-014 ,1,1,IMPSCHCT ,Implantation Site Characterization ,Early Resorption ,EARLY INTRAUTERINE DEATH ,1,RESORPTION ,Left Horn ,,,UTERUS 
TST01 ,IC ,TST01-014 ,2,2,IMPSCHCT ,Implantation Site Characterization ,Late Resorption ,LATE INTRAUTERINE DEATH ,2,RESORPTION ,Left Horn ,,,UTERUS 
TST01 ,IC ,TST01-014 ,3,3,IMPSCHCT ,Implantation Site Characterization ,Alive ,ALIVE ,3,FETUS ,Left Horn ,,,UTERUS 
TST01 ,IC ,TST01-014 ,4,4,IMPSCHCT ,Implantation Site Characterization ,Alive ,ALIVE ,4,FETUS ,Left Horn ,,,UTERUS 
TST01 ,IC ,TST01-014 ,5,5,IMPSCHCT ,Implantation Site Characterization ,Early Resorption ,EARLY INTRAUTERINE DEATH ,5,RESORPTION ,Left Horn ,,,UTERUS 
TST01 ,IC ,TST01-014 ,6,6,IMPSCHCT ,Implantation Site Characterization ,Dead ,DEAD ,6,FETUS ,Right Horn ,,,UTERUS 
TST01 ,IC ,TST01-014 ,7,7,IMPSCHCT ,Implantation Site Characterization ,Alive ,ALIVE ,7,FETUS ,Right Horn ,,,UTERUS 
TST01 ,IC ,TST01-014 ,8,8,IMPSCHCT ,Implantation Site Characterization ,Alive ,ALIVE ,8,FETUS ,Right Horn ,,,UTERUS 
TST01 ,IC ,TST01-014 ,9,9,IMPSCHCT ,Implantation Site Characterization ,"Twin, Dead ",DEAD ,9,FETUS ,Right Horn ,,,UTERUS 
TST01 ,IC ,TST01-014 ,10,10,IMPSCHCT ,Implantation Site Characterization ,"Twin, Alive ",ALIVE ,9,FETUS ,Right Horn ,,,UTERUS 
TST01 ,IC ,TST01-015,1,1,IMPSCHCT ,Implantation Site Characterization ,Early Resorption ,EARLY INTRAUTERINE DEATH ,1,RESORPTION ,Left Horn ,,,
TST01 ,IC ,TST01-015 ,2,2,IMPSCHCT ,Implantation Site Characterization ,Late Resorption ,LATE INTRAUTERINE DEATH ,2,RESORPTION ,Left Horn ,,,
TST01 ,IC ,TST01-015 ,3,3,IMPSCHCT ,Implantation Site Characterization ,Alive ,ALIVE ,3,FETUS ,Left Horn ,,,
