dataset,variable,label,type,length
ds.xpt,STUDYID,Study Identifier,Char,12
ds.xpt,DOMAIN,Domain Abbreviation,Char,2
ds.xpt,USUBJID,Unique Subject Identifier,Char,20
ds.xpt,DSSEQ,Sequence Number,Num,8
ds.xpt,DSTERM,Reported Term for the Disposition Event,Char,200
ds.xpt,DSDECOD,Standardized Disposition Term,Char,50
ds.xpt,DSCAT,Category for Disposition Event,Char,50
ds.xpt,DSSCAT,Subcategory for Disposition Event,Char,50
ds.xpt,EPOCH,Epoch,Char,50
ds.xpt,DSDY,Study Day of Collection,Num,2
ds.xpt,DSSTDY,Study Day of Start of Disposition Event,Num,2
ds.xpt,DSENDY,Study Day of End of Disposition Event,Num,2
