dataset,variable,label,type,length
ts,STUDYID,Study Identifier,Char,12
ts,DOMAIN,Domain Abbreviation,Char,2
ts,TSSEQ,Sequence Number,Num,8
ts,TSGRPID,Group ID,Char,200
ts,TSPARMCD,Trial Summary Parameter Short Name,Char,8
ts,TSPARM,Trial Summary Parameter,Char,40
ts,TSVAL,Parameter Value,Char,200
ts,TSVALNF,Parameter Null Flavor,Char,4
ts,TSVALCD,Parameter Value Code,Char,200
ts,TSVCDREF,Name of the Reference Terminology,Char,200
ts,TSVCDVER,Version of the Reference Terminology,Char,200
dm,STUDYID,Study Identifier,Char,50
dm,DOMAIN,Domain Abbreviation,Char,50
dm,USUBJID,Unique Subject Identifier,Char,50
dm,ARMCD,Planned Arm Code,Char,50
dm,ARM,Description of Planned Arm,Char,50
dm,ACTARMCD,Actual Arm Code,Char,50
dm,ACTARM,Description of Actual Arm,Char,50
dm,ARMNRS,Reason Arm and/or Actual Arm is Null,Char,50
dm,ACTARMUD,Description of Unplanned Actual Arm,Char,50
dm,RFSTDTC,Subject Reference Start Date/Time,Char,10
