STUDYID,DOMAIN,SETCD,SET,TXSEQ,TXPARMCD,TXPARM,TXVAL
CDISCPILOT01,TX,SET0,"Control Group, Vehicle Control once daily",1,TRTDOSU,mg,20
CDISCPILOT01,TX,SET0,"Control Group, Vehicle Control once daily",1,TRTDOS,Dose,20
CDISCPILOT01,TX,SET0,"Control Group, Vehicle Control once daily",2,SPGRPCD,Sponsor-defined Group Code,GRP1
CDISCPILOT01,TX,SET0,"Control Group, Vehicle Control once daily",3,TCNTRL,Control Type,Vehicle Control
CDISCPILOT01,TX,SET0,"Control Group, Vehicle Control once daily",4,GRPLBL,Group Label,GRP0
CDISCPILOT01,TX,SET0,"Control Group, Vehicle Control once daily",5,SPGRPCD,Sponsor-defined Group Code,GRP0
CDISCPILOT01,TX,SET0,"Control Group, Vehicle Control once daily",6,ARMCD,Arm Code,ZAN_LOW
CDISCPILOT01,TX,SET1,"Control Group, Vehicle Control once daily",1,ARMCD,Arm Code,ZAN_LOW
CDISCPILOT01,TX,SET1,"Control Group, Vehicle Control once daily",2,SPGRPCD,Sponsor-defined Group Code,GRP1
CDISCPILOT01,TX,SET1,"Control Group, Vehicle Control once daily",3,TCNTRL,Control Type,Vehicle Control
CDISCPILOT01,TX,SET2,"Low-Dose Group, 100 mg/kg Drug a once daily",4,ARMCD,Arm Code,ZAN_HIGH
CDISCPILOT01,TX,SET2,"Low-Dose Group, 100 mg/kg Drug a once daily",5,SPGRPCD,Sponsor-defined Group Code,GRP2
CDISCPILOT01,TX,SET2,"Low-Dose Group, 100 mg/kg Drug a once daily",6,GRPLBL,Group Label,GRP2
CDISCPILOT01,TX,SET3,"Low-Dose Group, 100 mg/kg Drug a once daily",4,ARMCD,Arm Code,ZAN_HIGH
CDISCPILOT01,TX,SET3,"Low-Dose Group, 100 mg/kg Drug a once daily",5,SPGRPCD,Sponsor-defined Group Code,GRP2
CDISCPILOT01,TX,SET3,"Low-Dose Group, 100 mg/kg Drug a once daily",6,GRPLBL,Group Label,GRP2
CDISCPILOT01,TX,SET3,"Control Group, Vehicle Control once daily",1,TRTDOS,Dose,20
CDISCPILOT01,TX,SET4,"Control Group, Vehicle Control once daily",1,TRTDOS,Dose,20
CDISCPILOT01,TX,SET4,"Control Group, Vehicle Control once daily",2,SPGRPCD,Sponsor-defined Group Code,GRP1
CDISCPILOT01,TX,SET4,"Control Group, Vehicle Control once daily",3,TCNTRL,Control Type,Vehicle Control
CDISCPILOT01,TX,SET4,"Control Group, Vehicle Control once daily",4,GRPLBL,Group Label,GRP0
CDISCPILOT01,TX,SET4,"Control Group, Vehicle Control once daily",5,SPGRPCD,Sponsor-defined Group Code,GRP0
CDISCPILOT01,TX,SET4,"Control Group, Vehicle Control once daily",6,ARMCD,Arm Code,ZAN_LOW
CDISCPILOT01,TX,SET4,"Control Group, Vehicle Control once daily",1,TRTDOSU,Dose Unit,mL
