dataset,variable,label,type,length
co.xpt,STUDYID,Study Identifier,Char,50
co.xpt,DOMAIN,Domain Abbreviation,Char,50
co.xpt,RDOMAIN,Related Domain Abbreviation,Char,50
co.xpt,USUBJID,Unique Subject Identifier,Char,50
co.xpt,POOLID,Pool Identfier,Char,
co.xpt,COSEQ,Sequence Number,Num,8
co.xpt,IDVAR,Identifying Variable,Char,50
co.xpt,IDVARVAL,Identifying Variable Value,Char,50
co.xpt,COREF,Comment Reference,Char,50
co.xpt,COVAL,Comment,Char,50
co.xpt,COVAL1,Comment1,Char,50
co.xpt,COVAL2,Comment2,Char,50
co.xpt,COVAL3,Comment3,Char,50
co.xpt,COEVAL,Evaluator,Char,50
co.xpt,VISITNUM,Visitnumber,Num,8
co.xpt,CODTC,Date/Time of Comment,Char,50
co.xpt,CODY,Study Day of Comment,Num,8
