dataset,variable,label,type,length
pc,STUDYID,Study Identifier,Char,10
pc,DOMAIN,Domain Abbreviation,Char,2
pc,USUBJID,Unique Subject Identifier,Char,14
pc,POOLID,Pool Identifier,Char,10
pc,PCSEQ,Sequence Number,Num,8
pc,PCTESTCD,Test Short Name ,Char,8
pc,PCTEST,Test Name ,Char,25
pc,PCORRES,Result or Findings as Collected,Char,6
pc,PCORRESU,Unit of the Original Result ,Char,6
pc,PCSTRESC,Standardized Result in Character Format,Char,6
pc,PCSTRESN,Standardized Result in Numeric Format ,Num,6
pc,PCSTRESU,Unit of the Standardized Result ,,6
pc,PCSPEC,Specimen Material Type ,Char,5
pc,PCDTC,Date/Time of Observation,Char,20
pc,PCDY,Study Day of Observation,Num,8
pc,PCNOMDY,Nominal Study Day for Tabulations,Num,8
pc,PCTPTREF,Time Point Reference,Char,20
pc,PCELTM,Planned Elapsed Time from Time Point Ref,Char,8
pp,STUDYID,Study Identifier,Char,10
pp,DOMAIN,Domain Abbreviation,Char,2
pp,USUBJID,Unique Subject Identifier,Char,14
pp,POOLID,Pool Identifier,Char,10
pp,PPSEQ,Sequence Number,Num,8
pp,PPTESTCD,Parameter Short Name ,Char,8
pp,PPTEST,Parameter Name ,Char,25
pp,PPCAT,Parameter Category,Char,25
pp,PPSCAT,Parameter Subcategory,Char,25
pp,PPORRES,Result or Findings as Collected,Char,25
pp,PPORRESU,Unit of the Original Result,Char,25
