STUDYID,DOMAIN,TSSEQ,TSGRPID,TSPARMCD,TSPARM,TSVAL,TSVALNF,TSVALCD,TSVCDREF,TSVCDVER
CDISCPILOT01,TS,1,,AGEU,Age Unit,,,,,
CDISCPILOT01,TS,1,,ADAPT,Adaptive Design,N,,C49487,CDISC,2020-03-27
CDISCPILOT01,TS,1,,ADDON,Added on to Existing Treatments,N,,C49487,CDISC,2020-03-27
CDISCPILOT01,TS,1,,AGEMAX,Planned Maximum Age of Subjects,,PINF,,,
CDISCPILOT01,TS,1,,AGEMIN,Planned Minimum Age of Subjects,P50Y,,,ISO 8601,
CDISCPILOT01,TS,1,CUTOFF,DCUTDESC,Data Cutoff Description,DATABASE LOCK,,,,
CDISCPILOT01,TS,1,CUTOFF,DCUTDTC,Data Cutoff Date,2015-03-31,,,ISO 8601,
CDISCPILOT01,TS,1,PLACEBO,DOSE,Dose per Administration,0,,,,
CDISCPILOT01,TS,2,LOW-DOSE,DOSE,Dose per Administration,54,,,,
CDISCPILOT01,TS,3,HIGH-DOSE,DOSE,Dose per Administration,54,,,,
CDISCPILOT01,TS,4,HIGH-DOSE,DOSE,Dose per Administration,81,,,,
CDISCPILOT01,TS,4,HIGH-DOSE,DOSDUR,Dosing Duration,P42D,,,,
CDISCPILOT01,TS,1,,DOSFRM,Dose Form,INJECTION,,C42946,CDISC,2020-03-27
CDISCPILOT01,TS,1,,DOSFRQ,Dosing Frequency,QD,,C25473,CDISC,2020-03-27
CDISCPILOT01,TS,1,,DOSU,Dose Units,mg,,C28253,CDISC,2020-03-27
CDISCPILOT01,TS,1,,EXPSTDTC,Experimental Start Date,2008-01-01,,,,
CDISCPILOT01,TS,1,,EXPENDTC,Experimental End Date,2008-03-07,,,,
CDISCPILOT01,TS,1,,FCNTRY,Planned Country of Investigational Sites,USA,,USA,ISO 3166-1 alpha-3,
CDISCPILOT01,TS,1,,GLPFL,GLP Flag,Y,,,,
CDISCPILOT01,TS,1,,HLTSUBJI,Healthy Subject Indicator,N,,C49487,CDISC,2020-03-27
CDISCPILOT01,TS,1,,INDIC,Trial Disease/Condition Indication,Alzheimer's Disease (Disorder),,26929004,SNOMED,2019-03-01
CDISCPILOT01,TS,1,,INTMODEL,Intervention Model,PARALLEL,,C82639,CDISC,2020-03-27
CDISCPILOT01,TS,1,,INTTYPE,Intervention Type,DRUG,,C1909,CDISC,2020-03-27
CDISCPILOT01,TS,1,,LENGTH,Trial Length,P28W,,,ISO 8601,
CDISCPILOT01,TS,1,,NARMS,Planned Number of Arms,3,,,,
CDISCPILOT01,TS,1,EFFICACY,OBJPRIM,Trial Primary Objective,To document the efficacy profile of Zanomaline.,,,,
CDISCPILOT01,TS,2,SAFETY,OBJPRIM,Trial Primary Objective,To document the safety profile of Zanomaline.,,,,
