dataset,variable,label,type,length
tx.xpt,STUDYID,Study Identifier,Char,8325064
tx.xpt,DOMAIN,Domain Abbreviation,Char,TX
tx.xpt,SETCD,Set Code,Char,SetA
tx.xpt,SET,Set Description,Char,A-TA98-C0
tx.xpt,TXSEQ,Sequence Number,Num,1
tx.xpt,TXPARMCD,Trial Set Parameter Short Name,Char,SPECIES
tx.xpt,TXPARM,Trial Set Parameter,Char,Species
tx.xpt,TXVAL,Trial Set Parameter Value,Char,SALMONELLA TYPHIMURIUM
ts.xpt,STUDYID,Study Identifier,Char,200
ts.xpt,DOMAIN,Domain Abbreviation,Char,200
ts.xpt,TSSEQ,Sequence Number,Num,40
ts.xpt,TSGRPID,Group Identifier,Char,10
ts.xpt,TSPARMCD,Trial Summary Parameter Short Name,Char,40
ts.xpt,TSPARM,Trial Summary Parameter,Char,8
ts.xpt,TSVAL,Parameter Value,Char,40
ts.xpt,TSVALNF,Parameter Null Flavor,Char,50
