STUDYID,DOMAIN,SETCD,SET,TXSEQ,TXPARMCD,TXPARM,TXVAL
8325064,TX,SetR,R-TA100-C2,68,IVTDMIN,In vitro Treatment Duration Minimum,71.5
8325064,TX,SetR,R-TA100-C2,69,IVTDTRG,In vitro Treatment Duration Target,72
8325064,TX,SetR,R-TA100-C2,70,IVTDMAX,In vitro Treatment Duration Maximum,72.5
8325064,TX,SetR,R-TA100-C2,71,IVTDU,In vitro Treatment Duration Unit,HOURS
8325064,TX,SetR,R-TA100-C2,72,INCBTMP,Incubation Temperature,37
8325064,TX,SetR,R-TA100-C2,73,INCBTMPU,Incubation Temperature Unit,C
8325064,TX,SetR,R-TA100-C2,74,ATMRHP,Atmospheric Relative Humidity Percent,50
8325064,TX,SetR,R-TA100-C2,75,ATMCO2P,Atmospheric CO2 Percent,5
8325064,TX,SetR,R-TA100-C2,76,SPTOBID,Applicant-defined tobacco identifier,CIG01a
8325064,TX,SetR,R-TA100-C2,77,EXPTYP,Exposure Type,Submerged
8325064,TX,SetR,R-TA100-C2,78,SAMTYP,Sample Type,Total Particulate Matter in PBS
8325064,TX,SetR,R-TA100-C2,79,APDEVID,Applicant-defined device identifier,PUFFMASTER3K
8325064,TX,SetR,R-TA100-C2,80,SMKRGM,Smoking Regimen,NON-INTENSE REGIMEN
8325064,TX,SetR,R-TA100-C2,81,STRAIN,Strain/Substrain,
8325064,TX,SetR,R-TA100-C2,82,MTACTIND,Metabolic Activating Agent Name,NOT APPLICABLE
8325064,TX,SetR,R-TA100-C2,83,METACTFL,Presence of Metabolic Activation Flag,N
8325064,TX,SetR,R-TA100-C2,84,ITVNAM,Intervention Article Name,NaN3
8325064,TX,SetR,R-TA100-C2,85,ITVTYPE,Intervention Article Type,Positive Control
8325064,TX,SetR,R-TA100-C2,86,ITVCONC,Intervention Article Concentration,2
8325064,TX,SetR,R-TA100-C2,87,ITVCONCU,Intervention Article Concentration Unit,ug/plate
8325064,TX,SetR,R-TA100-C2,88,TRTV,Treatment Vehicle,DMSO
