STUDYID,DOMAIN,SETCD,SET,TXSEQ,TXPARMCD,TXPARM,TXVAL
8325064,TX,SetA,A-TA98-C0,2,IVTDMIN,In vitro Treatment Duration Minimum,71.5
8325064,TX,SetA,A-TA98-C0,3,IVTDTRG,In vitro Treatment Duration Target,72
8325064,TX,SetA,A-TA98-C0,4,IVTDMAX,In vitro Treatment Duration Maximum,72.5
8325064,TX,SetA,A-TA98-C0,5,IVTDU,In vitro Treatment Duration Unit,HOURS
8325064,TX,SetA,A-TA98-C0,6,INCBTMP,Incubation Temperature,37
8325064,TX,SetA,A-TA98-C0,7,INCBTMPU,Incubation Temperature Unit,C
8325064,TX,SetA,A-TA98-C0,8,ATMRHP,Atmospheric Relative Humidity Percent,50
8325064,TX,SetA,A-TA98-C0,9,ATMCO2P,Atmospheric CO2 Percent,5
8325064,TX,SetA,A-TA98-C0,10,SPTOBID,Applicant-defined tobacco identifier,CIG01a
8325064,TX,SetA,A-TA98-C0,11,EXPTYP,Exposure Type,Submerged
8325064,TX,SetA,A-TA98-C0,12,SAMTYP,Sample Type,Total Particulate Matter in PBS
8325064,TX,SetA,A-TA98-C0,13,APDEVID,Applicant-defined device identifier,PUFFMASTER3K
8325064,TX,SetA,A-TA98-C0,14,SMKRGM,Smoking Regimen,NON-INTENSE REGIMEN
8325064,TX,SetA,A-TA98-C0,15,STRAIN,Strain/Substrain,TA98
8325064,TX,SetA,A-TA98-C0,16,MTACTIND,Metabolic Activating Agent Name,NOT APPLICABLE
8325064,TX,SetA,A-TA98-C0,17,METACTFL,Presence of Metabolic Activation Flag,N
8325064,TX,SetA,A-TA98-C0,18,ITVNAM,Intervention Article Name,DMSO
8325064,TX,SetA,A-TA98-C0,19,ITVTYPE,Intervention Article Type,VEHICLE
8325064,TX,SetA,A-TA98-C0,20,ITVCONC,Intervention Article Concentration,100
8325064,TX,SetA,A-TA98-C0,21,ITVCONCU,Intervention Article Concentration Unit,%
8325064,TX,SetA,A-TA98-C0,22,TRTV,Treatment Vehicle,DMSO
8325064,TX,SetF,F-TA98-C500,23,SPECIES,Species,SALMONELLA TYPHIMURIUM
8325064,TX,SetF,F-TA98-C500,24,IVTDMIN,In vitro Treatment Duration Minimum,71.5
8325064,TX,SetF,F-TA98-C500,25,IVTDTRG,In vitro Treatment Duration Target,72
8325064,TX,SetF,F-TA98-C500,26,IVTDMAX,In vitro Treatment Duration Maximum,72.5
8325064,TX,SetF,F-TA98-C500,27,IVTDU,In vitro Treatment Duration Unit,HOURS
8325064,TX,SetF,F-TA98-C500,28,INCBTMP,Incubation Temperature,37
8325064,TX,SetF,F-TA98-C500,29,INCBTMPU,Incubation Temperature Unit,C
8325064,TX,SetF,F-TA98-C500,30,ATMRHP,Atmospheric Relative Humidity Percent,50
8325064,TX,SetF,F-TA98-C500,31,ATMCO2P,Atmospheric CO2 Percent,5
8325064,TX,SetF,F-TA98-C500,32,SPTOBID,Applicant-defined tobacco identifier,CIG01a
8325064,TX,SetF,F-TA98-C500,33,EXPTYP,Exposure Type,Submerged
8325064,TX,SetF,F-TA98-C500,34,SAMTYP,Sample Type,Total Particulate Matter in PBS
8325064,TX,SetF,F-TA98-C500,35,APDEVID,Applicant-defined device identifier,PUFFMASTER3K
8325064,TX,SetF,F-TA98-C500,36,SMKRGM,Smoking Regimen,NON-INTENSE REGIMEN
8325064,TX,SetF,F-TA98-C500,37,STRAIN,Strain/Substrain,TA98
8325064,TX,SetF,F-TA98-C500,38,MTACTIND,Metabolic Activating Agent Name,NOT APPLICABLE
8325064,TX,SetF,F-TA98-C500,39,METACTFL,Presence of Metabolic Activation Flag,N
8325064,TX,SetF,F-TA98-C500,40,ITVNAM,Intervention Article Name,TA1
8325064,TX,SetF,F-TA98-C500,41,ITVTYPE,Intervention Article Type,PRODUCT
8325064,TX,SetF,F-TA98-C500,42,ITVCONC,Intervention Article Concentration,500
8325064,TX,SetF,F-TA98-C500,43,ITVCONCU,Intervention Article Concentration Unit,ug/plate
8325064,TX,SetF,F-TA98-C500,44,TRTV,Treatment Vehicle,DMSO
8325064,TX,SetG,G-TA98-C1600,45,SPECIES,Species,SALMONELLA TYPHIMURIUM
8325064,TX,SetG,G-TA98-C1600,46,IVTDMIN,In vitro Treatment Duration Minimum,71.5
8325064,TX,SetG,G-TA98-C1600,47,IVTDTRG,In vitro Treatment Duration Target,72
8325064,TX,SetG,G-TA98-C1600,48,IVTDMAX,In vitro Treatment Duration Maximum,72.5
8325064,TX,SetG,G-TA98-C1600,49,IVTDU,In vitro Treatment Duration Unit,HOURS
8325064,TX,SetG,G-TA98-C1600,50,INCBTMP,Incubation Temperature,37
8325064,TX,SetG,G-TA98-C1600,51,INCBTMPU,Incubation Temperature Unit,C
8325064,TX,SetG,G-TA98-C1600,52,ATMRHP,Atmospheric Relative Humidity Percent,50
8325064,TX,SetG,G-TA98-C1600,53,ATMCO2P,Atmospheric CO2 Percent,5
8325064,TX,SetG,G-TA98-C1600,54,SPTOBID,Applicant-defined tobacco identifier,CIG01a
8325064,TX,SetG,G-TA98-C1600,55,EXPTYP,Exposure Type,Submerged
8325064,TX,SetG,G-TA98-C1600,56,SAMTYP,Sample Type,Total Particulate Matter in PBS
8325064,TX,SetG,G-TA98-C1600,57,APDEVID,Applicant-defined device identifier,PUFFMASTER3K
8325064,TX,SetG,G-TA98-C1600,58,SMKRGM,Smoking Regimen,NON-INTENSE REGIMEN
8325064,TX,SetG,G-TA98-C1600,59,STRAIN,Strain/Substrain,TA98
8325064,TX,SetG,G-TA98-C1600,60,MTACTIND,Metabolic Activating Agent Name,NOT APPLICABLE
8325064,TX,SetG,G-TA98-C1600,61,METACTFL,Presence of Metabolic Activation Flag,N
8325064,TX,SetG,G-TA98-C1600,62,ITVNAM,Intervention Article Name,TA1
8325064,TX,SetG,G-TA98-C1600,63,ITVTYPE,Intervention Article Type,Product
8325064,TX,SetG,G-TA98-C1600,64,ITVCONC,Intervention Article Concentration,1600
8325064,TX,SetG,G-TA98-C1600,65,ITVCONCU,Intervention Article Concentration Unit,ug/plate
8325064,TX,SetG,G-TA98-C1600,66,TRTV,Treatment Vehicle,DMSO
8325064,TX,SetR,R-TA100-C2,67,SPECIES,Species,SALMONELLA TYPHIMURIUM
8325064,TX,SetR,R-TA100-C2,68,IVTDMIN,In vitro Treatment Duration Minimum,71.5
8325064,TX,SetR,R-TA100-C2,69,IVTDTRG,In vitro Treatment Duration Target,72
8325064,TX,SetR,R-TA100-C2,70,IVTDMAX,In vitro Treatment Duration Maximum,72.5
8325064,TX,SetR,R-TA100-C2,71,IVTDU,In vitro Treatment Duration Unit,HOURS
8325064,TX,SetR,R-TA100-C2,72,INCBTMP,Incubation Temperature,37
8325064,TX,SetR,R-TA100-C2,73,INCBTMPU,Incubation Temperature Unit,C
8325064,TX,SetR,R-TA100-C2,74,ATMRHP,Atmospheric Relative Humidity Percent,50
8325064,TX,SetR,R-TA100-C2,75,ATMCO2P,Atmospheric CO2 Percent,5
8325064,TX,SetR,R-TA100-C2,76,SPTOBID,Applicant-defined tobacco identifier,CIG01a
8325064,TX,SetR,R-TA100-C2,77,EXPTYP,Exposure Type,Submerged
8325064,TX,SetR,R-TA100-C2,78,SAMTYP,Sample Type,Total Particulate Matter in PBS
8325064,TX,SetR,R-TA100-C2,79,APDEVID,Applicant-defined device identifier,PUFFMASTER3K
8325064,TX,SetR,R-TA100-C2,80,SMKRGM,Smoking Regimen,NON-INTENSE REGIMEN
8325064,TX,SetR,R-TA100-C2,81,STRAIN,Strain/Substrain,TA100
8325064,TX,SetR,R-TA100-C2,82,MTACTIND,Metabolic Activating Agent Name,NOT APPLICABLE
8325064,TX,SetR,R-TA100-C2,83,METACTFL,Presence of Metabolic Activation Flag,N
8325064,TX,SetR,R-TA100-C2,84,ITVNAM,Intervention Article Name,NaN3
8325064,TX,SetR,R-TA100-C2,85,ITVTYPE,Intervention Article Type,Positive Control
8325064,TX,SetR,R-TA100-C2,86,ITVCONC,Intervention Article Concentration,2
8325064,TX,SetR,R-TA100-C2,87,ITVCONCU,Intervention Article Concentration Unit,ug/plate
8325064,TX,SetR,R-TA100-C2,88,TRTV,Treatment Vehicle,DMSO
