dataset,variable,label,type,length
StudyElement,parent_entity,Parent Entity Name,String,[1]
StudyElement,parent_id,Parent Entity Id,String,[1]
StudyElement,parent_rel,Name of Relationship from Parent Entity,String,[1]
StudyElement,rel_type,Type of Relationship,String,[1]
StudyElement,id,,String,[1]
StudyElement,name,Study Design Element Name,String,[1]
StudyElement,description,Study Design Element Description,String,[0..1]
StudyElement,label,Study Element Label,String,[0..1]
StudyElement,transitionEndRule.id,,String,[1]
StudyElement,transitionEndRule.name,Transition Rule Name,String,[1]
StudyElement,transitionEndRule.description,Transition Rule Description,String,[0..1]
StudyElement,transitionEndRule.label,Transition Rule Label,String,[0..1]
StudyElement,transitionEndRule.text,Transition Rule Text,String,[1]
StudyElement,studyInterventionIds,,StudyIntervention.id,[0..*]
StudyElement,transitionStartRule.id,,String,[1]
StudyElement,transitionStartRule.name,Transition Rule Name,String,[1]
StudyElement,transitionStartRule.description,Transition Rule Description,String,[0..1]
StudyElement,transitionStartRule.label,Transition Rule Label,String,[0..1]
StudyElement,transitionStartRule.text,Transition Rule Text,String,[1]
