Rule ID,1.0,1.1,1.2,1.3,1.0 | 1.1 | 1.2 | 1.3,Status,CORE-ID
1,1.0,1.1,1.2,1.3,,PUBLISHED,CORE-000560
5,1.0,1.1,1.2,1.3,,DRAFT,
6,1.0,1.1,1.2,1.3,,DRAFT,
7,1.0,1.1,1.2,1.3,,DRAFT,
10,1.0,1.1,1.2,1.3,,DRAFT,
13,1.0,1.1,1.2,1.3,,DRAFT,
14,1.0,1.1,1.2,1.3,,DRAFT,
16,1.0,1.1,1.2,1.3,,DRAFT,
17,1.0,1.1,1.2,1.3,,DRAFT,
19,1.0,1.1,1.2,1.3,,DRAFT,
20,1.0,1.1,1.2,1.3,,DRAFT,
21,1.0,1.1,1.2,1.3,,DRAFT,
22,1.0,1.1,1.2,1.3,,DRAFT,
23,1.0,1.1,1.2,1.3,,DRAFT,
24,1.0,1.1,1.2,1.3,,DRAFT,
25,1.0,1.1,1.2,1.3,,DRAFT,
26,1.0,1.1,1.2,1.3,,DRAFT,
27,1.0,1.1,1.2,1.3,,DRAFT,
28,1.0,1.1,1.2,1.3,,DRAFT,
29,1.0,1.1,1.2,1.3,,DRAFT,
30,1.0,1.1,1.2,1.3,,DRAFT,
31,1.0,1.1,1.2,1.3,,DRAFT,
32,1.0,1.1,1.2,1.3,,DRAFT,
47,1.0,1.1,1.2,1.3,,DRAFT,
49,1.0,1.1,1.2,1.3,,DRAFT,
50,1.0,1.1,1.2,1.3,,DRAFT,
51,1.0,1.1,1.2,1.3,,DRAFT,
52,1.0,1.1,1.2,1.3,,DRAFT,
53,,,,1.3,,DRAFT,
54,1.0,1.1,1.2,1.3,,DRAFT,
55,1.0,1.1,1.2,1.3,,DRAFT,
60,1.0,1.1,1.2,1.3,,DRAFT,
64,1.0,1.1,1.2,1.3,,DRAFT,
70,1.0,1.1,1.2,1.3,,DRAFT,
71,1.0,1.1,1.2,1.3,,DRAFT,
72,1.0,1.1,1.2,1.3,,DRAFT,
80,1.0,1.1,1.2,1.3,,DRAFT,
88,1.0,1.1,1.2,1.3,,DRAFT,
89,1.0,1.1,1.2,1.3,,DRAFT,
111,1.0,1.1,1.2,1.3,,DRAFT,
112,1.0,1.1,1.2,,,DRAFT,
113,1.0,1.1,1.2,,,DRAFT,
143,1.0,1.1,1.2,1.3,,DRAFT,
144,1.0,1.1,1.2,1.3,,DRAFT,
145,1.0,1.1,1.2,1.3,,DRAFT,
159,1.0,1.1,1.2,1.3,,DRAFT,
160,1.0,1.1,,,,DRAFT,
163,1.0,1.1,1.2,1.3,,DRAFT,
164,1.0,1.1,1.2,1.3,,DRAFT,
166,1.0,1.1,1.2,1.3,,DRAFT,
167,1.0,1.1,1.2,1.3,,DRAFT,
169,1.0,1.1,1.2,1.3,,DRAFT,
176,1.0,1.1,,,,DRAFT,
178,1.0,1.1,,,,DRAFT,
194,1.0,1.1,1.2,1.3,,DRAFT,
195,1.0,1.1,1.2,1.3,,DRAFT,
196,1.0,1.1,1.2,1.3,,DRAFT,
197,1.0,1.1,1.2,1.3,,DRAFT,
198,1.0,1.1,1.2,1.3,,DRAFT,
204,1.0,1.1,1.2,1.3,,DRAFT,
211,1.0,1.1,1.2,1.3,,DRAFT,
252,,,,1.3,,DRAFT,
261,1.0,1.1,1.2,1.3,,DRAFT,
262,1.0,1.1,1.2,1.3,,DRAFT,
278,1.0,1.1,1.2,1.3,,DRAFT,
279,1.0,1.1,1.2,1.3,,DRAFT,
363,1.0,1.1,,,,DRAFT,
522,,1.1,1.2,1.3,,DRAFT,
523,,1.1,1.2,1.3,,DRAFT,
524,,1.1,1.2,1.3,,DRAFT,
525,,1.1,1.2,1.3,,DRAFT,
529,,1.1,1.2,1.3,,DRAFT,
530,,1.1,1.2,1.3,,DRAFT,
619,1.0,1.1,,,,DRAFT,
620,1.0,1.1,1.2,1.3,,DRAFT,
621,1.0,1.1,1.2,1.3,,DRAFT,
623,1.0,1.1,1.2,1.3,,DRAFT,
624,1.0,1.1,1.2,1.3,,DRAFT,
625,1.0,1.1,1.2,1.3,,DRAFT,
626,1.0,1.1,1.2,1.3,,DRAFT,
627,1.0,1.1,1.2,1.3,,DRAFT,
628,1.0,1.1,1.2,1.3,,DRAFT,
629,1.0,1.1,1.2,1.3,,DRAFT,
630,1.0,1.1,1.2,1.3,,DRAFT,
631,1.0,1.1,1.2,1.3,,DRAFT,
632,1.0,1.1,1.2,1.3,,DRAFT,
633,1.0,1.1,1.2,1.3,,DRAFT,
800,,,,1.3,,DRAFT,
802,,,,1.3,,DRAFT,
804,,,,1.3,,DRAFT,
805,,,,1.3,,DRAFT,
806,,,,1.3,,DRAFT,
807,,,,1.3,,DRAFT,
809,,,,1.3,,DRAFT,
811,,,,1.3,,DRAFT,
812,,,,1.3,,DRAFT,
813,,,,1.3,,DRAFT,
814,,,,1.3,,DRAFT,
815,,,,1.3,,DRAFT,
816,,,,1.3,,DRAFT,
817,,,,1.3,,DRAFT,
818,,,,1.3,,DRAFT,
819,,,,1.3,,DRAFT,
820,,,,1.3,,DRAFT,
821,,,,1.3,,DRAFT,
822,,,,1.3,,DRAFT,
823,,,,1.3,,DRAFT,
824,,,,1.3,,DRAFT,
825,,,,1.3,,DRAFT,
826,,,,1.3,,DRAFT,
827,,,,1.3,,DRAFT,
828,,,,1.3,,DRAFT,
829,,,,1.3,,DRAFT,
830,,,,1.3,,DRAFT,
831,,,,1.3,,DRAFT,
832,,,,1.3,,DRAFT,
833,,,,1.3,,DRAFT,
834,,,,1.3,,DRAFT,
835,,,,1.3,,DRAFT,
836,,,,1.3,,DRAFT,
837,,,,1.3,,DRAFT,
838,,,,1.3,,DRAFT,
839,,,,1.3,,DRAFT,
840,,,,1.3,,DRAFT,
841,,,,1.3,,DRAFT,
842,,,,1.3,,DRAFT,
843,,,,1.3,,DRAFT,
844,,,,1.3,,DRAFT,
845,,,,1.3,,DRAFT,
846,,,,1.3,,DRAFT,
847,,,,1.3,,DRAFT,
848,,,,1.3,,DRAFT,
849,,,,1.3,,DRAFT,
850,,,,1.3,,DRAFT,
851,,,,1.3,,DRAFT,
852,,,,1.3,,DRAFT,
853,,,,1.3,,DRAFT,
854,,,,1.3,,DRAFT,
855,,,,1.3,,DRAFT,
856,,,,1.3,,DRAFT,
857,,,,1.3,,DRAFT,
858,,,,1.3,,DRAFT,
859,,,,1.3,,DRAFT,
860,,,,1.3,,DRAFT,
