Dataset,Record,Variable,Value
ts.xpt,1,$crmdur_count,0
ts.xpt,1,TSPARMCD,AGE
ts.xpt,1,TSVAL,46
ts.xpt,2,$crmdur_count,0
ts.xpt,2,TSPARMCD,AGETXT
ts.xpt,2,TSVAL,null
ts.xpt,3,$crmdur_count,0
ts.xpt,3,TSPARMCD,DCUTDESC
ts.xpt,3,TSVAL,Database Lock
ts.xpt,4,$crmdur_count,0
ts.xpt,4,TSPARMCD,DCUTDTC
ts.xpt,4,TSVAL,44532
ts.xpt,5,$crmdur_count,0
ts.xpt,5,TSPARMCD,DOSE
ts.xpt,5,TSVAL,25
ts.xpt,6,$crmdur_count,0
ts.xpt,6,TSPARMCD,DOSE
ts.xpt,6,TSVAL,50
ts.xpt,7,$crmdur_count,0
ts.xpt,7,TSPARMCD,DOSE
ts.xpt,7,TSVAL,10
ts.xpt,8,$crmdur_count,0
ts.xpt,8,TSPARMCD,DOSE
ts.xpt,8,TSVAL,20
ts.xpt,9,$crmdur_count,0
ts.xpt,9,TSPARMCD,DOSFRM
ts.xpt,9,TSVAL,CAPSULE
