Dataset,Record,Variable,Value
STUDYELEMENT,4,parent_id,StudyDesign_1
STUDYELEMENT,4,name,Wash Out
STUDYELEMENT,4,parent_rel,studyElements
STUDYELEMENT,4,parent_entity,StudyDesign
STUDYELEMENT,4,id,StudyElement_4
STUDYELEMENT,4,description,Wash Out Element
STUDYELEMENT,5,parent_id,StudyDesign_1
STUDYELEMENT,5,name,Follow Up
STUDYELEMENT,5,parent_rel,studyElements
STUDYELEMENT,5,parent_entity,StudyDesign
STUDYELEMENT,5,id,StudyElement_5
STUDYELEMENT,5,description,Follow Up Element
STUDYELEMENT,6,parent_id,StudyDesign_1
STUDYELEMENT,6,name,Follow Up
STUDYELEMENT,6,parent_rel,studyElements
STUDYELEMENT,6,parent_entity,StudyDesign
STUDYELEMENT,6,id,StudyElement_6
STUDYELEMENT,6,description,A Duplicate Name
STUDYELEMENT,7,parent_id,StudyDesign_1
STUDYELEMENT,7,name,A Duplicate Label
STUDYELEMENT,7,parent_rel,studyElements
STUDYELEMENT,7,parent_entity,StudyDesign
STUDYELEMENT,7,id,StudyElement_7
STUDYELEMENT,7,description,Wash Out Element
