Dataset,Record,Variable,Value
ex.xpt,1,EXRPSTDY,1
ex.xpt,1,RPPLDY,1.01
ex.xpt,1,RPPLSTDY,1
ex.xpt,1,RPPLENDY,1
ex.xpt,1,EXRPDY,1
ex.xpt,1,EXRPENDY,1
ex.xpt,2,EXRPSTDY,2
ex.xpt,2,RPPLDY,2
ex.xpt,2,RPPLSTDY,2.6
ex.xpt,2,RPPLENDY,2
ex.xpt,2,EXRPDY,2
ex.xpt,2,EXRPENDY,2
ex.xpt,3,EXRPSTDY,3
ex.xpt,3,RPPLDY,3
ex.xpt,3,RPPLSTDY,3
ex.xpt,3,RPPLENDY,1.1
ex.xpt,3,EXRPDY,3
ex.xpt,3,EXRPENDY,3
ex.xpt,4,EXRPSTDY,4
ex.xpt,4,RPPLDY,4
ex.xpt,4,RPPLSTDY,4
ex.xpt,4,RPPLENDY,4
ex.xpt,4,EXRPDY,-2.2
ex.xpt,4,EXRPENDY,4
ex.xpt,5,EXRPSTDY,2.3
ex.xpt,5,RPPLDY,-5
ex.xpt,5,RPPLSTDY,5
ex.xpt,5,RPPLENDY,5
ex.xpt,5,EXRPDY,5
ex.xpt,5,EXRPENDY,5
ex.xpt,6,EXRPSTDY,6
ex.xpt,6,RPPLDY,0
ex.xpt,6,RPPLSTDY,6
ex.xpt,6,RPPLENDY,6
ex.xpt,6,EXRPDY,6
ex.xpt,6,EXRPENDY,-4.1
lb.xpt,1,LBRPSTDY,1
lb.xpt,1,LBRPDY,1
lb.xpt,1,RPPLDY,1.01
lb.xpt,1,RPPLSTDY,1
lb.xpt,1,RPPLENDY,1
lb.xpt,1,LBRPENDY,1
lb.xpt,2,LBRPSTDY,2
lb.xpt,2,LBRPDY,2
lb.xpt,2,RPPLDY,2
lb.xpt,2,RPPLSTDY,2.6
lb.xpt,2,RPPLENDY,2
lb.xpt,2,LBRPENDY,2
lb.xpt,3,LBRPSTDY,3
lb.xpt,3,LBRPDY,3
lb.xpt,3,RPPLDY,3
lb.xpt,3,RPPLSTDY,3
lb.xpt,3,RPPLENDY,1.1
lb.xpt,3,LBRPENDY,3
lb.xpt,4,LBRPSTDY,4
lb.xpt,4,LBRPDY,-2.2
lb.xpt,4,RPPLDY,4
lb.xpt,4,RPPLSTDY,4
lb.xpt,4,RPPLENDY,4
lb.xpt,4,LBRPENDY,4
lb.xpt,5,LBRPSTDY,2.3
lb.xpt,5,LBRPDY,5
lb.xpt,5,RPPLDY,-5
lb.xpt,5,RPPLSTDY,5
lb.xpt,5,RPPLENDY,5
lb.xpt,5,LBRPENDY,5
lb.xpt,6,LBRPSTDY,5
lb.xpt,6,LBRPDY,5
lb.xpt,6,RPPLDY,-5
lb.xpt,6,RPPLSTDY,5
lb.xpt,6,RPPLENDY,5
lb.xpt,6,LBRPENDY,5.7
ds.xpt,1,DSRPDY,1
ds.xpt,1,DSRPSTDY,1
ds.xpt,1,DSRPENDY,1
ds.xpt,1,RPPLDY,1.01
ds.xpt,1,RPPLSTDY,1
ds.xpt,1,RPPLENDY,1
ds.xpt,2,DSRPDY,2
ds.xpt,2,DSRPSTDY,2
ds.xpt,2,DSRPENDY,2
ds.xpt,2,RPPLDY,2
ds.xpt,2,RPPLSTDY,2.6
ds.xpt,2,RPPLENDY,2
ds.xpt,3,DSRPDY,3
ds.xpt,3,DSRPSTDY,3
ds.xpt,3,DSRPENDY,3
ds.xpt,3,RPPLDY,3
ds.xpt,3,RPPLSTDY,3
ds.xpt,3,RPPLENDY,1.1
ds.xpt,4,DSRPDY,-2.2
ds.xpt,4,DSRPSTDY,4
ds.xpt,4,DSRPENDY,4
ds.xpt,4,RPPLDY,4
ds.xpt,4,RPPLSTDY,4
ds.xpt,4,RPPLENDY,4
ds.xpt,5,DSRPDY,5
ds.xpt,5,DSRPSTDY,2.3
ds.xpt,5,DSRPENDY,5
ds.xpt,5,RPPLDY,-5
ds.xpt,5,RPPLSTDY,5
ds.xpt,5,RPPLENDY,5
ds.xpt,6,DSRPDY,6
ds.xpt,6,DSRPSTDY,6
ds.xpt,6,DSRPENDY,6.1
ds.xpt,6,RPPLDY,-6
ds.xpt,6,RPPLSTDY,6
ds.xpt,6,RPPLENDY,6
