Dataset,Record,Variable,Value
tu,1,TUEVAL,INDEPENDENT ASSESSOR
tu,1,TUEVALID,RADIOLOGIST 1
tu,2,TUEVAL,INDEPENDENT ASSESSOR
tu,2,TUEVALID,RADIOLOGIST 2
tu,3,TUEVAL,INDEPENDENT ASSESSOR
tu,3,TUEVALID,RADIOLOGIST 1
rs,1,RSEVAL,INDEPENDENT ASSESSOR
rs,1,RSEVALID,RADIOLOGIST 1
rs,2,RSEVAL,INDEPENDENT ASSESSOR
rs,2,RSEVALID,RADIOLOGIST 1
rs,3,RSEVAL,INDEPENDENT ASSESSOR
rs,3,RSEVALID,RADIOLOGIST 2
mk,1,MKEVALID,READER 1
mk,1,MKEVAL,INDEPENDENT ASSESSOR
mk,2,MKEVALID,READER 1
mk,2,MKEVAL,INDEPENDENT ASSESSOR
mk,3,MKEVALID,READER 3
mk,3,MKEVAL,INDEPENDENT ASSESSOR
mk,4,MKEVALID,READER 2
mk,4,MKEVAL,INDEPENDENT ASSESSOR
