Dataset,Record,Variable,Value
TX,8,$num_armcd,1
TX,8,$num_grplbl,0
TX,8,$num_spgrpcd,1
TX,8,$num_trtdos,0
TX,8,$num_trtdosu,0
TX,8,SETCD,SET1
TX,9,$num_armcd,1
TX,9,$num_grplbl,0
TX,9,$num_spgrpcd,1
TX,9,$num_trtdos,0
TX,9,$num_trtdosu,0
TX,9,SETCD,SET1
TX,10,$num_armcd,1
TX,10,$num_grplbl,0
TX,10,$num_spgrpcd,1
TX,10,$num_trtdos,0
TX,10,$num_trtdosu,0
TX,10,SETCD,SET1
TX,11,$num_armcd,1
TX,11,$num_grplbl,1
TX,11,$num_spgrpcd,1
TX,11,$num_trtdos,0
TX,11,$num_trtdosu,0
TX,11,SETCD,SET2
TX,12,$num_armcd,1
TX,12,$num_grplbl,1
TX,12,$num_spgrpcd,1
TX,12,$num_trtdos,0
TX,12,$num_trtdosu,0
TX,12,SETCD,SET2
TX,13,$num_armcd,1
TX,13,$num_grplbl,1
TX,13,$num_spgrpcd,1
TX,13,$num_trtdos,0
TX,13,$num_trtdosu,0
TX,13,SETCD,SET2
TX,14,$num_armcd,1
TX,14,$num_grplbl,1
TX,14,$num_spgrpcd,1
TX,14,$num_trtdos,1
TX,14,$num_trtdosu,0
TX,14,SETCD,SET3
TX,15,$num_armcd,1
TX,15,$num_grplbl,1
TX,15,$num_spgrpcd,1
TX,15,$num_trtdos,1
TX,15,$num_trtdosu,0
TX,15,SETCD,SET3
TX,16,$num_armcd,1
TX,16,$num_grplbl,1
TX,16,$num_spgrpcd,1
TX,16,$num_trtdos,1
TX,16,$num_trtdosu,0
TX,16,SETCD,SET3
TX,17,$num_armcd,1
TX,17,$num_grplbl,1
TX,17,$num_spgrpcd,1
TX,17,$num_trtdos,1
TX,17,$num_trtdosu,0
TX,17,SETCD,SET3
