Dataset,Record,Variable,Value
VS.csv,8,define_variable_name,VSORRES
VS.csv,8,define_variable_label,Result or Finding in Original Units
VS.csv,8,library_variable_label,Result or Findings as Collected
VS.csv,9,define_variable_name,VSORRESU
VS.csv,9,define_variable_label,Original Units
VS.csv,9,library_variable_label,Unit of the Original Result
VS.csv,10,define_variable_name,VSSTRESC
VS.csv,10,define_variable_label,Character Result/Finding in Std Format
VS.csv,10,library_variable_label,Standardized Result in Character Format
VS.csv,11,define_variable_name,VSSTRESN
VS.csv,11,define_variable_label,Numeric Result/Finding in Standard Units
VS.csv,11,library_variable_label,Standardized Result in Numeric Format
VS.csv,12,define_variable_name,VSSTRESU
VS.csv,12,define_variable_label,Standard Units
VS.csv,12,library_variable_label,Unit of the Standardized Result
VS.csv,20,define_variable_name,VSDTC
VS.csv,20,define_variable_label,Date/Time of Measurements
VS.csv,20,library_variable_label,Date/Time of Measurement
VS.csv,21,define_variable_name,VSDY
VS.csv,21,define_variable_label,Study Day of Vital Signs
VS.csv,21,library_variable_label,Study Day of Vital Signs Measurement
