Dataset,Record,Variable,Value
om.xpt,3,OMSTRESC,20
om.xpt,3,OMSTRESU,%
om.xpt,3,$owbw_ratio_null_unit,0
om.xpt,3,$owbr_ratio_null_unit,0
om.xpt,3,$owbw_percent,0
om.xpt,3,$owht_ratio_null_unit,2
om.xpt,3,$owbr_percent,0
om.xpt,3,OMSTRESN,20
om.xpt,3,OMTESTCD,OWHT
om.xpt,3,$owht_percent,1
om.xpt,4,OMSTRESC,0.2
om.xpt,4,OMSTRESU,
om.xpt,4,$owbw_ratio_null_unit,0
om.xpt,4,$owbr_ratio_null_unit,0
om.xpt,4,$owbw_percent,0
om.xpt,4,$owht_ratio_null_unit,2
om.xpt,4,$owbr_percent,0
om.xpt,4,OMSTRESN,0.2
om.xpt,4,OMTESTCD,OWHT
om.xpt,4,$owht_percent,1
om.xpt,5,OMSTRESC,0.2
om.xpt,5,OMSTRESU,
om.xpt,5,$owbw_ratio_null_unit,0
om.xpt,5,$owbr_ratio_null_unit,0
om.xpt,5,$owbw_percent,0
om.xpt,5,$owht_ratio_null_unit,2
om.xpt,5,$owbr_percent,0
om.xpt,5,OMSTRESN,0.2
om.xpt,5,OMTESTCD,OWHT
om.xpt,5,$owht_percent,1
